Price,Close,High,Low,Open,Volume
Ticker,AFMD,AFMD,AFMD,AFMD,AFMD
Date,,,,,
2020-01-28,27.799999237060547,28.600000381469727,27.100000381469727,27.700000762939453,55130
2020-01-29,27.600000381469727,27.899999618530273,27.200000762939453,27.600000381469727,52160
2020-01-30,26.799999237060547,27.450000762939453,26.299999237060547,27.100000381469727,71710
2020-01-31,26.200000762939453,26.700000762939453,26.0,26.700000762939453,43770
2020-02-03,25.700000762939453,26.899999618530273,25.200000762939453,26.200000762939453,75130
2020-02-04,26.899999618530273,27.700000762939453,25.700000762939453,26.200000762939453,47580
2020-02-05,27.799999237060547,28.200000762939453,27.200000762939453,27.299999237060547,36290
2020-02-06,27.5,28.0,27.0,27.899999618530273,52660
2020-02-07,26.600000381469727,27.799999237060547,26.200000762939453,27.399999618530273,35960
2020-02-10,27.399999618530273,27.600000381469727,26.110000610351562,26.600000381469727,29730
2020-02-11,26.200000762939453,27.700000762939453,26.100000381469727,27.700000762939453,49490
2020-02-12,26.399999618530273,26.700000762939453,25.700000762939453,26.399999618530273,48800
2020-02-13,25.700000762939453,26.5,25.299999237060547,26.5,56450
2020-02-14,25.299999237060547,26.5,25.200000762939453,25.600000381469727,39490
2020-02-18,27.100000381469727,27.399999618530273,25.200000762939453,25.200000762939453,40190
2020-02-19,27.5,27.600000381469727,26.799999237060547,27.100000381469727,50690
2020-02-20,27.399999618530273,27.899999618530273,26.399999618530273,27.700000762939453,42800
2020-02-21,27.0,27.600000381469727,26.200000762939453,27.5,42330
2020-02-24,25.0,26.200000762939453,24.299999237060547,25.799999237060547,66440
2020-02-25,23.200000762939453,25.799999237060547,23.100000381469727,25.0,98900
2020-02-26,24.200000762939453,24.299999237060547,22.799999237060547,23.200000762939453,71070
2020-02-27,23.299999237060547,24.899999618530273,22.600000381469727,24.0,89780
2020-02-28,23.600000381469727,24.25,22.100000381469727,22.299999237060547,60060
2020-03-02,24.200000762939453,24.299999237060547,23.299999237060547,23.600000381469727,68960
2020-03-03,24.0,25.100000381469727,23.200000762939453,24.100000381469727,57050
2020-03-04,24.600000381469727,25.549999237060547,24.0,24.600000381469727,74630
2020-03-05,23.600000381469727,24.549999237060547,22.799999237060547,24.100000381469727,85870
2020-03-06,22.399999618530273,23.600000381469727,22.100000381469727,22.700000762939453,79480
2020-03-09,20.0,21.5,19.799999237060547,21.200000762939453,86640
2020-03-10,20.100000381469727,20.899999618530273,19.399999618530273,20.600000381469727,74360
2020-03-11,18.200000762939453,19.75,18.0,19.600000381469727,149070
2020-03-12,16.0,17.5,15.899999618530273,15.899999618530273,99180
2020-03-13,16.850000381469727,18.899999618530273,14.899999618530273,17.600000381469727,101290
2020-03-16,14.399999618530273,16.299999237060547,14.199999809265137,15.5,80420
2020-03-17,16.700000762939453,16.799999237060547,14.199999809265137,15.0,96050
2020-03-18,14.800000190734863,16.700000762939453,14.399999618530273,15.600000381469727,66050
2020-03-19,18.299999237060547,18.299999237060547,14.699999809265137,14.699999809265137,67120
2020-03-20,18.600000381469727,19.0,17.0,18.600000381469727,118060
2020-03-23,17.0,18.700000762939453,16.5,18.700000762939453,127640
2020-03-24,17.100000381469727,18.100000381469727,16.799999237060547,17.299999237060547,135010
2020-03-25,16.100000381469727,17.399999618530273,15.850000381469727,17.100000381469727,187680
2020-03-26,15.699999809265137,16.799999237060547,15.600000381469727,16.200000762939453,220640
2020-03-27,15.600000381469727,17.350000381469727,15.199999809265137,15.699999809265137,133470
2020-03-30,16.100000381469727,16.899999618530273,15.699999809265137,16.100000381469727,119720
2020-03-31,15.800000190734863,16.799999237060547,15.699999809265137,16.100000381469727,104330
2020-04-01,15.899999618530273,16.75,15.0,15.600000381469727,520900
2020-04-02,16.399999618530273,17.399999618530273,15.399999618530273,17.0,165110
2020-04-03,15.800000190734863,17.0,15.5,16.799999237060547,101250
2020-04-06,18.25,18.5,15.899999618530273,16.200000762939453,119720
2020-04-07,17.799999237060547,19.299999237060547,17.100000381469727,18.899999618530273,89970
2020-04-08,19.5,20.299999237060547,17.799999237060547,18.299999237060547,144410
2020-04-09,19.899999618530273,20.399999618530273,19.0,19.799999237060547,96640
2020-04-13,20.799999237060547,21.100000381469727,19.200000762939453,19.899999618530273,62940
2020-04-14,21.399999618530273,22.149999618530273,20.5,21.399999618530273,80900
2020-04-15,21.5,22.299999237060547,20.100000381469727,21.399999618530273,95980
2020-04-16,21.600000381469727,22.200000762939453,20.899999618530273,21.700000762939453,96990
2020-04-17,23.0,23.5,21.600000381469727,22.200000762939453,93960
2020-04-20,22.399999618530273,24.200000762939453,21.899999618530273,23.0,114860
2020-04-21,22.0,23.0,21.700000762939453,21.799999237060547,58280
2020-04-22,22.299999237060547,23.100000381469727,21.799999237060547,22.5,48000
2020-04-23,21.700000762939453,22.799999237060547,21.549999237060547,22.299999237060547,55100
2020-04-24,22.399999618530273,22.899999618530273,21.5,21.700000762939453,46990
2020-04-27,22.399999618530273,22.799999237060547,21.799999237060547,22.600000381469727,70560
2020-04-28,22.299999237060547,23.899999618530273,21.299999237060547,23.899999618530273,121290
2020-04-29,22.0,23.299999237060547,21.299999237060547,23.299999237060547,69060
2020-04-30,21.899999618530273,22.299999237060547,21.100000381469727,21.700000762939453,72400
2020-05-01,20.299999237060547,21.700000762939453,19.899999618530273,21.200000762939453,79910
2020-05-04,20.450000762939453,20.799999237060547,19.100000381469727,19.5,75470
2020-05-05,21.100000381469727,22.0,20.5,20.5,80350
2020-05-06,22.100000381469727,22.200000762939453,20.600000381469727,21.200000762939453,56850
2020-05-07,22.0,22.799999237060547,21.299999237060547,22.700000762939453,62650
