Price,Close,High,Low,Open,Volume
Ticker,CGABL,CGABL,CGABL,CGABL,CGABL
Date,,,,,
2021-05-19,20.20991325378418,20.44519600698478,20.092271877183883,20.120667858092244,191400
2021-05-20,20.307270050048828,20.315383407735393,20.258589903929433,20.315383407735393,120400
2021-05-21,20.534439086914062,20.6480245537626,20.29104453181619,20.32349641701231,487800
2021-05-24,20.591232299804688,20.631799093099822,20.44519648633701,20.631799093099822,336300
2021-05-25,20.5506649017334,20.60745685893391,20.404627556095065,20.5506649017334,483000
2021-05-26,20.52632713317871,20.599345814197044,20.501988604482563,20.599345814197044,144200
2021-05-27,20.510099411010742,20.672361922831914,20.453305907035336,20.506041958422976,524500
2021-05-28,20.518217086791992,20.761611679478662,20.420858321238278,20.501990367955525,2353500
2021-06-01,20.631797790527344,20.64802450682094,20.469533722521096,20.518213871401873,203400
2021-06-02,20.631797790527344,20.68858975009008,20.583119189111404,20.68858975009008,60100
2021-06-03,20.54255485534668,20.664252147174416,20.54255485534668,20.648026976405067,326300
2021-06-04,20.623682022094727,20.696700689417376,20.583116783566435,20.583116783566435,124700
2021-06-07,20.54255485534668,20.65613878805723,20.510102966342963,20.65613878805723,217800
2021-06-08,20.575002670288086,20.63990797802704,20.501984005648687,20.510097362549132,101600
2021-06-09,20.60745620727539,20.68858823533829,20.60745620727539,20.648022995039202,86100
2021-06-10,20.64802360534668,20.753494161720607,20.60745681638381,20.623683531968958,69300
2021-06-11,20.672359466552734,20.68858618004623,20.60745416004333,20.68858618004623,97400
2021-06-14,20.639909744262695,20.761607013254256,20.607456313883755,20.729153582875316,80700
2021-06-15,20.534439086914062,20.721043229784932,20.526325728748823,20.615571121101635,110700
2021-06-16,20.664249420166016,20.664249420166016,20.566892218537816,20.575005576584303,132400
2021-06-17,20.631797790527344,20.696703108236875,20.615571074233753,20.656136317502895,75800
2021-06-18,20.68048095703125,20.68859431696902,20.65614087721794,20.68048095703125,52400
2021-06-21,20.60745620727539,20.72915347563738,20.591229492169866,20.72915347563738,97600
2021-06-22,20.631797790527344,20.66830712845551,20.615571074233753,20.664249675649693,84400
2021-06-23,20.631797790527344,20.729154993359224,20.57500583096461,20.631797790527344,156200
2021-06-24,20.664249420166016,20.704816210398445,20.624495048963606,20.63179753544489,106400
2021-06-25,20.639909744262695,20.68047498477164,20.575004430969546,20.64802310185743,124200
2021-06-28,20.60745620727539,20.648022995039202,20.558777609423544,20.648022995039202,356000
2021-06-29,20.591232299804688,20.712118713133794,20.56689377129254,20.615572375781767,579100
2021-06-30,20.639909744262695,20.745380298064788,20.591229598694284,20.59934295628902,633400
2021-07-01,20.639909744262695,20.721041772745313,20.623683029073224,20.623683029073224,79200
2021-07-02,20.69670295715332,20.72104303141603,20.61557092374245,20.63179763991759,61000
2021-07-06,20.712932586669922,20.802176443255977,20.648027260305046,20.712932586669922,176700
2021-07-07,20.794063568115234,20.794063568115234,20.688592990616335,20.737271599656975,45700
2021-07-08,20.68048095703125,20.753499649006002,20.65614087721794,20.753499649006002,119900
2021-07-09,20.631797790527344,20.73726835150602,20.623684432380546,20.704816466383672,102400
2021-07-12,20.64802360534668,20.680475489052206,20.60745681638381,20.680475489052206,51500
2021-07-13,20.59934425354004,21.541284548326868,20.591230895434364,20.6480244021741,156400
2021-07-14,20.64802360534668,20.64802360534668,20.58717419563476,20.623683531968958,67400
2021-07-15,20.656137466430664,20.67236418362681,20.201800217192964,20.648025655297513,41500
2021-07-16,20.688589096069336,20.688589096069336,20.615570422521323,20.6642490223984,56400
2021-07-19,20.688589096069336,20.688589096069336,20.60745706463101,20.688589096069336,101100
2021-07-20,20.493873596191406,20.688589547412448,20.493873596191406,20.688589547412448,208600
2021-07-21,20.5506649017334,20.566891617352052,20.493872944532885,20.542551543924073,102500
2021-07-22,20.469533920288086,20.566892671525437,20.4614205620629,20.566892671525437,70200
2021-07-23,20.485763549804688,20.55878223674971,20.461423471667988,20.493876909183587,102200
2021-07-26,20.510099411010742,20.558778009810617,20.497928600712207,20.52632457896753,38100
2021-07-27,20.428966522216797,20.538494525508828,20.372174568094565,20.526323715722143,112800
2021-07-28,20.566892623901367,20.68858990206762,20.445195345735115,20.68858990206762,134400
2021-07-29,20.69169807434082,20.69169807434082,20.60137667162344,20.60137667162344,49300
2021-07-30,20.732755661010742,20.74917802156213,20.699910939907962,20.724544480735048,51500
2021-08-02,20.757387161254883,20.806652671943436,20.72454244338095,20.798441492474954,84900
2021-08-03,20.85591697692871,20.85591697692871,20.773806753113103,20.773806753113103,84300
2021-08-04,20.905187606811523,20.913398787817155,20.872344448911637,20.872344448911637,80800
2021-08-05,20.896974563598633,20.954451255085868,20.855918665306046,20.929817716110318,293100
2021-08-06,20.896974563598633,20.929817716110318,20.868236217855014,20.921606536451797,67500
2021-08-09,20.970874786376953,21.0037179407241,20.929818885789924,20.93803006590733,49300
2021-08-10,21.07761573791504,21.093215882921488,20.823075433954287,20.970873535003232,81200
2021-08-11,21.102251052856445,21.15151656864504,20.979084914201195,21.094039872537927,71500
2021-08-12,21.118669509887695,21.265646958912946,21.036560848035595,21.118669509887695,79400
2021-08-13,21.155620574951172,21.25579446524924,21.118671047977728,21.118671047977728,27600
2021-08-16,21.028350830078125,21.258257601758107,20.98729493076211,21.200780908838112,84300
2021-08-17,21.19257354736328,21.19257354736328,21.036565800220885,21.069408959468813,42500
2021-08-18,21.217208862304688,21.274685570377937,21.03164053361555,21.19257531622065,53300
2021-08-19,21.1761474609375,21.19256825339815,21.102248413436474,21.1761474609375,63700
2021-08-20,21.14330291748047,21.14330291748047,21.110458200044697,21.14330291748047,51000
2021-08-23,21.110458374023438,21.250045292031206,21.077615222439317,21.126880732876668,49400
2021-08-24,21.126880645751953,21.20899087355715,21.11045828696645,21.20899087355715,54600
2021-08-25,21.332157135009766,21.332157135009766,21.126882332172205,21.184359026387128,31100
2021-08-26,21.250045776367188,21.323944826768706,21.21309625116643,21.26646813559472,40400
2021-08-27,21.274681091308594,21.348580147879513,21.167938879663097,21.258258730710054,47100
2021-08-30,21.333797454833984,21.38963127993582,21.274677905206506,21.30752262148475,39500
2021-08-31,21.14330291748047,21.35678888244602,21.10224858680808,21.332155344369188,84600
2021-09-01,21.52100944519043,21.54564298518329,21.266469129754007,21.332157003612515,59200
2021-09-02,21.72628402709961,21.73449520701421,21.41426702095695,21.471743714236723,22100
2021-09-03,21.80018424987793,21.808395430233094,21.545643923357908,21.6359653411422,44200
2021-09-07,21.882291793823242,21.882291793823242,21.60311796060114,21.759127235901097,61900
2021-09-08,21.619543075561523,21.800184345802435,21.455322599980676,21.800184345802435,61000
2021-09-09,21.5784854888916,21.68522768565249,21.33215481263047,21.677016506498223,51700
2021-09-10,21.734493255615234,21.750915613969976,21.553852012079922,21.718072463382782,32200
2021-09-13,21.80018424987793,21.823174928423384,21.677019676795503,21.677019676795503,9600
2021-09-14,21.75091552734375,21.75830605841064,21.660594122874667,21.660594122874667,22000
2021-09-15,21.775550842285156,21.88229304763451,21.545642505834163,21.750917302840342,70200
2021-09-16,21.7673397064209,21.849449938613642,21.66880711456512,21.734494987094834,91500
2021-09-17,21.56206512451172,21.833027797170338,21.55385394459813,21.833027797170338,92700
2021-09-20,21.2089900970459,21.718072237901538,21.192567738861655,21.718072237901538,61000
2021-09-21,21.200780868530273,21.43068920589557,21.200780868530273,21.282891100883766,46000
2021-09-22,21.31573486328125,21.49637769284556,21.241837374786034,21.307525249321476,106100
2021-09-23,21.1761474609375,21.455319726236322,21.159725102354535,21.38142224485761,42500
2021-09-24,21.159725189208984,21.237729043614777,21.061192603429067,21.225413057688158,27300
2021-09-27,21.028350830078125,21.167937755507722,20.93802941770532,21.15972657564452,40200
2021-09-28,20.979084014892578,21.028351094691754,20.82307629389585,21.028351094691754,110200
2021-09-29,20.995508193969727,21.110461591216325,20.93803149534643,21.044773711915045,95300
2021-09-30,21.036561965942383,21.167937711234,21.020139606250325,21.020139606250325,405500
2021-10-01,21.118669509887695,21.144945910447596,20.954450620061163,21.094037537781002,52000
2021-10-04,20.979084014892578,21.167938021877866,20.938029681182375,21.167938021877866,22200
2021-10-05,20.938030242919922,20.982370302704272,20.85592000717417,20.913396702359453,131700
2021-10-06,21.233625411987305,21.233625411987305,20.872341332298845,20.97908353718827,56800
2021-10-07,21.184362411499023,21.241840681021028,21.00372111994085,21.102253730141577,21900
2021-10-08,21.26646614074707,21.26646614074707,21.102247262243022,21.18435591843393,44400
2021-10-11,21.29110336303711,21.315735337709597,20.93803044225478,21.192570765979656,6900
2021-10-12,21.504587173461914,21.504587173461914,21.30752356542915,21.315733178740132,18600
2021-10-13,21.718074798583984,21.718074798583984,21.446289906793293,21.504588815384444,23800
2021-10-14,21.80018424987793,21.80018424987793,21.652387701852525,21.677019676795503,23200
2021-10-15,21.603120803833008,21.80018443566886,21.543180596239736,21.759130099665672,103700
2021-10-18,21.58669662475586,21.69343882130269,21.48734339314745,21.652384491735972,41000
2021-10-19,21.504587173461914,21.57027504280617,21.40605458638436,21.463531276295292,25100
2021-10-20,21.34857940673828,21.56945435446743,21.282891532747062,21.512799874777556,60700
2021-10-21,21.233625411987305,21.57191724861956,21.218844348710657,21.348578796656284,24400
2021-10-22,21.340364456176758,21.397841139998434,21.300951425521273,21.33215327761335,13200
2021-10-25,21.389631271362305,21.389631271362305,21.323943404954417,21.332154584020685,38600
2021-10-26,21.258256912231445,21.40605501273031,21.241836119160084,21.35678950127148,42000
2021-10-27,21.323945999145508,21.373213079536775,21.233626150673107,21.373213079536775,39600
2021-10-28,21.34857940673828,21.463532794692306,21.291102712761273,21.3650017667667,34600
2021-10-29,21.389265060424805,21.57193678343103,21.339445787555128,21.389265060424805,48800
2021-11-01,21.588544845581055,21.588544845581055,21.390096032665287,21.488904710992685,68500
2021-11-02,21.505508422851562,21.58023811659843,21.463992630203734,21.58023811659843,35900
2021-11-03,21.4639949798584,21.580240478978443,21.42330905516638,21.55533005042723,19600
2021-11-04,21.39756965637207,21.555330959336878,21.28962604515803,21.480602837984513,73600
2021-11-05,21.4639949798584,21.472298456042136,21.273019778810855,21.430781075123445,25600
2021-11-08,21.389265060424805,21.45569128549308,21.306231883157928,21.45569128549308,23800
2021-11-09,21.21489906311035,21.588547636462774,21.20659716923711,21.38096544765063,73600
2021-11-10,21.0239200592041,21.32283886427988,20.98240426237741,21.2564126391215,47600
2021-11-11,21.057132720947266,21.173378212182605,21.032222294085678,21.090345039703347,29500
2021-11-12,21.123558044433594,21.181680787581044,21.073737192827803,21.090344143363065,42100
2021-11-15,20.97410011291504,21.156771830304567,20.907673889889203,21.13186298649868,77300
2021-11-16,21.003162384033203,21.11940788336441,20.982404485399222,20.999011437796867,50700
2021-11-17,21.048830032348633,21.073738876415533,21.00731265269364,21.048830032348633,21500
2021-11-18,20.957494735717773,21.09865066821817,20.957494735717773,21.09865066821817,97900
2021-11-19,20.99402618408203,21.023917427357265,20.957491210514352,21.023917427357265,15600
2021-11-22,20.91598129272461,21.015619854107538,20.907677815321637,21.015619854107538,26100
2021-11-23,20.85785484313965,20.94918991095483,20.849551367206253,20.94918991095483,32600
2021-11-24,20.741605758666992,20.947528140965705,20.741605758666992,20.899368618698112,57900
2021-11-26,20.658573150634766,20.774820221887023,20.59214693151604,20.774820221887023,21400
2021-11-29,20.758214950561523,20.84955160313635,20.675181774014053,20.758214950561523,12900
2021-11-30,20.71670150756836,20.791431216577767,20.57554556652018,20.791431216577767,65300
2021-12-01,20.766517639160156,21.090345273317602,20.725000260597625,20.899370083108135,25700
2021-12-02,20.940885543823242,20.994857343230358,20.781462930374538,20.857853955475104,24600
2021-12-03,20.849552154541016,20.990708083287007,20.849552154541016,20.990708083287007,16200
2021-12-06,20.849552154541016,20.924281857037492,20.849552154541016,20.849552154541016,31400
2021-12-07,20.89937400817871,21.082045756982893,20.86616009909085,20.891070530906745,40400
2021-12-08,20.949190139770508,21.0405267923094,20.924281295424347,21.015616364237125,14200
2021-12-09,21.18168067932129,21.214892996496094,20.965795074644173,20.965795074644173,55900
2021-12-10,21.156770706176758,21.289623145169546,21.032221742586767,21.28131966976675,26500
2021-12-13,21.003990173339844,21.14846716067245,20.907672709693436,21.14846716067245,15900
2021-12-14,20.965797424316406,21.057134078303815,20.84955192558781,20.9325835196933,35600
2021-12-15,20.86615753173828,20.997350239276614,20.8412486867135,20.965797663015884,25200
2021-12-16,20.84124755859375,20.957493052353552,20.81633713119119,20.882763353871944,64900
2021-12-17,20.84124755859375,20.907673781274504,20.81633713119119,20.8910668296728,19600
2021-12-20,20.84124755859375,20.915977257075358,20.820489660954653,20.84124755859375,24200
2021-12-21,20.86615753173828,20.93258375801463,20.82464173421287,20.899371436739536,18400
2021-12-22,21.10695457458496,21.10695457458496,20.89106893320338,20.915979363114182,31900
2021-12-23,21.01561737060547,21.131864456783326,20.990708525066506,21.131864456783326,16300
2021-12-27,21.04052734375,21.114427173692942,21.00814489501563,21.073739664990697,12500
2021-12-28,20.999011993408203,21.089517194035576,20.98240504057116,21.040527791774625,18300
2021-12-29,21.048830032348633,21.06543698421063,20.98240380862674,21.048830032348633,16500
2021-12-30,21.01561737060547,21.156773302322286,20.98240504864479,21.057134752714056,45400
2021-12-31,21.007314682006836,21.16507757248357,20.982405835533736,21.007314682006836,52200
2022-01-03,20.88276481628418,21.10695392742888,20.866157863519497,21.10695392742888,28300
2022-01-04,20.766517639160156,20.90767355882064,20.766517639160156,20.866156180258113,65700
2022-01-05,20.641969680786133,20.92428153391857,20.54232955108745,20.799730975863685,22200
2022-01-06,20.820491790771484,20.841249690533996,20.64197100210667,20.741609554457217,18400
2022-01-07,20.88276481628418,20.915978721813552,20.75821583800141,20.83294554171631,27000
2022-01-10,20.924280166625977,20.924280166625977,20.71752790084023,20.841246994590552,39800
2022-01-11,21.007314682006836,21.073740912145524,20.961647935564066,20.9657988820675,19800
2022-01-12,21.057132720947266,21.082041564082818,21.040525769706207,21.07373808846229,12300
2022-01-13,21.0239200592041,21.17337946174199,21.019769113011886,21.10695323658361,43700
2022-01-14,20.961647033691406,21.10695391095352,20.82464204907897,21.10695391095352,18800
2022-01-18,20.957494735717773,21.007314010798442,20.799731850281752,21.007314010798442,41500
2022-01-19,20.78727912902832,20.982406882678973,20.716701948863985,20.957496451236445,38400
2022-01-20,20.71670150756836,20.878615349179974,20.71670150756836,20.81634006376337,58200
2022-01-21,20.758214950561523,20.78146404994768,20.69926232961123,20.76651842658888,37400
2022-01-24,20.72500228881836,20.75821619491881,20.542330556444508,20.741609241868584,41800
2022-01-25,20.849552154541016,20.91597838079053,20.684315669560995,20.725001594562787,34100
2022-01-26,20.59214973449707,20.98240521070096,20.52572350633648,20.98240521070096,41100
2022-01-27,20.01091766357422,20.77149889253323,20.01091766357422,20.70839374758916,53200
2022-01-28,20.01091766357422,20.1686805259344,19.936187970020764,20.1686805259344,70300
2022-01-31,20.295814514160156,20.295814514160156,20.07562876532373,20.169753873043238,78800
2022-02-01,20.295814514160156,20.35464270648485,20.085712911315955,20.337835796497806,64800
2022-02-02,20.026885986328125,20.430280704609,19.94284501928258,20.371452508561553,23100
2022-02-03,19.682321548461914,20.06890779368372,19.55626088601777,20.06890779368372,48400
2022-02-04,19.329347610473633,19.766359332461434,19.329347610473633,19.766359332461434,38500
2022-02-07,19.24530792236328,19.44700528364744,19.178075468601897,19.43860102655875,81200
2022-02-08,19.04361343383789,19.261279397310254,18.917552764387363,19.245310825548415,60100
2022-02-09,18.87552833557129,19.20328794520845,18.858721424599935,19.060418782789206,59100
2022-02-10,18.707447052001953,18.909144399913938,18.43851725478597,18.78308375783745,130500
2022-02-11,18.39649200439453,18.808290867933707,18.32925956959115,18.715847271921362,47400
2022-02-14,18.026721954345703,18.421712473656704,17.900659683783058,18.396499698954504,52400
2022-02-15,18.152782440185547,18.371288343238188,18.02672177383358,18.068741461634787,144100
2022-02-16,18.43851661682129,18.47213203883619,18.135969803947283,18.135969803947283,62600
2022-02-17,18.37128448486328,18.68055406685384,18.295647780347807,18.45532384281558,158700
2022-02-18,18.312458038330078,18.46372985882952,18.28724526677276,18.37128623568233,19900
2022-02-22,17.942676544189453,18.385571065771444,17.757786114593532,17.757786114593532,37900
2022-02-23,17.64853858947754,18.085550405924597,17.64853858947754,18.085550405924597,37100
2022-02-24,17.70736312866211,17.77963845313844,17.505665778897598,17.522474292114985,22300
2022-02-25,17.93427276611328,17.967888188696303,17.66534297365709,17.66534297365709,27700
2022-02-28,17.892255783081055,18.11076007016406,17.791406294240385,17.951083983676345,42600
2022-03-01,18.0771427154541,18.19479910410226,17.951082070052777,17.951082070052777,45700
2022-03-02,18.21160888671875,18.337669540904844,18.068739717854992,18.085548232532656,145200
