Price,Close,High,Low,Open,Volume
Ticker,CSCI,CSCI,CSCI,CSCI,CSCI
Date,,,,,
2020-01-28,116.0,125.0,113.0,118.0,1819
2020-01-29,118.0,122.0,111.0,115.0,1203
2020-01-30,111.0,120.0,110.0,120.0,1138
2020-01-31,107.0,111.0,101.0,110.0,1900
2020-02-03,104.0,109.0,103.0,103.0,506
2020-02-04,104.0,108.0,102.0,104.0,934
2020-02-05,117.0,120.0,107.0,110.0,1589
2020-02-06,112.0,122.0,112.0,117.0,1377
2020-02-07,114.0,117.0,112.0,117.0,754
2020-02-10,112.0,114.0,110.0,114.0,488
2020-02-11,116.0,118.0,107.0,108.0,1521
2020-02-12,118.0,121.0,115.0,119.0,902
2020-02-13,117.0,119.0,114.0,118.0,1021
2020-02-14,118.0,120.0,116.0,116.0,599
2020-02-18,131.0,135.0,116.0,119.0,3485
2020-02-19,136.0,138.0,123.0,129.0,2981
2020-02-20,102.0,108.0,99.0,103.0,21467
2020-02-21,99.0,103.0,96.0,99.0,6345
2020-02-24,95.0,100.0,92.0,97.0,3248
2020-02-25,92.0,97.0,91.0,93.0,1962
2020-02-26,89.0,95.0,88.0,95.0,2945
2020-02-27,86.0,89.0,80.0,89.0,3538
2020-02-28,80.0,85.0,77.0,80.0,5022
2020-03-02,74.0,81.0,74.0,78.0,3871
2020-03-03,78.0,88.0,74.0,77.0,4486
2020-03-04,78.0,84.0,76.0,84.0,2469
2020-03-05,76.0,79.0,76.0,79.0,3016
2020-03-06,77.0,80.0,74.0,76.0,2986
2020-03-09,69.0,77.0,66.0,74.0,3475
2020-03-10,72.0,73.0,60.0,73.0,4713
2020-03-11,67.0,71.0,64.0,68.0,1990
2020-03-12,55.0,62.0,54.0,60.0,4576
2020-03-13,53.0,59.0,52.0,52.0,3170
2020-03-16,47.0,51.0,43.0,50.0,2939
2020-03-17,49.0,50.0,44.0,49.0,1347
2020-03-18,42.0,50.0,40.0,50.0,2842
2020-03-19,47.0,48.0,42.0,45.0,3154
2020-03-20,49.0,49.0,44.0,48.0,2121
2020-03-23,49.0,51.0,45.0,50.0,1100
2020-03-24,48.0,51.0,47.0,49.0,1862
2020-03-25,51.0,51.0,46.0,48.0,5802
2020-03-26,52.0,54.0,49.0,50.0,1824
2020-03-27,55.0,57.0,48.0,52.0,2273
2020-03-30,50.0,58.0,50.0,54.0,1969
2020-03-31,51.0,58.0,50.0,58.0,1190
2020-04-01,50.0,52.0,48.0,52.0,1052
2020-04-02,45.0,51.0,45.0,50.0,1130
2020-04-03,47.0,51.0,45.0,47.0,1918
2020-04-06,74.0,77.0,47.0,47.0,19627
2020-04-07,71.0,75.0,59.0,74.0,13326
2020-04-08,71.0,72.0,63.0,69.0,2172
2020-04-09,69.0,74.0,68.0,74.0,1223
2020-04-13,75.0,75.0,69.0,69.0,3300
2020-04-14,90.0,90.0,77.0,80.0,6071
2020-04-15,91.0,95.0,80.0,89.0,4421
2020-04-16,82.0,90.0,80.0,90.0,2871
2020-04-17,84.0,85.0,81.0,81.0,958
2020-04-20,83.0,85.0,81.0,84.0,1012
2020-04-21,78.0,82.0,76.0,82.0,918
2020-04-22,78.0,80.0,76.0,80.0,1058
2020-04-23,80.0,80.0,76.0,76.0,435
2020-04-24,79.0,80.0,77.0,80.0,1039
2020-04-27,82.0,83.0,78.0,78.0,732
2020-04-28,80.0,83.0,78.0,82.0,735
2020-04-29,81.0,82.0,77.0,79.0,1728
2020-04-30,77.0,82.0,71.0,79.0,1080
2020-05-01,74.0,77.0,73.0,73.0,563
2020-05-04,73.0,74.0,72.0,74.0,431
2020-05-05,77.0,77.0,75.0,75.0,1353
2020-05-06,101.0,125.0,81.0,85.0,61332
2020-05-07,110.0,111.0,88.0,102.0,13380
2020-05-08,105.0,112.0,103.0,111.0,3385
2020-05-11,105.0,110.0,99.0,110.0,3211
2020-05-12,101.0,105.0,99.0,103.0,2512
2020-05-13,95.0,101.0,91.0,100.0,2751
2020-05-14,97.0,99.0,91.0,93.0,761
2020-05-15,93.0,100.0,91.0,99.0,1377
2020-05-18,93.0,96.0,91.0,93.0,1531
2020-05-19,96.0,96.0,91.0,94.0,1827
2020-05-20,95.0,97.0,95.0,95.0,1493
2020-05-21,115.0,125.0,95.0,95.0,14526
2020-05-22,109.0,114.0,102.0,108.0,4105
2020-05-26,113.0,120.0,112.0,120.0,3276
2020-05-27,115.0,118.0,111.0,117.0,1623
2020-05-28,115.0,129.0,112.0,114.0,5683
2020-05-29,116.0,121.0,113.0,120.0,1691
2020-06-01,114.0,118.0,110.0,117.0,1950
2020-06-02,115.0,116.0,112.0,116.0,998
2020-06-03,116.0,118.0,113.0,115.0,1431
2020-06-04,117.0,122.0,115.0,116.0,3183
2020-06-05,115.0,120.0,115.0,119.0,1586
2020-06-08,117.0,125.0,113.0,115.0,4709
2020-06-09,120.0,123.0,115.0,117.0,4400
2020-06-10,114.0,122.0,113.0,121.0,2631
2020-06-11,98.0,113.0,95.0,113.0,5905
2020-06-12,96.0,101.0,94.0,99.0,1993
2020-06-15,95.0,96.0,90.0,94.0,1360
2020-06-16,96.0,100.0,93.0,98.0,1162
2020-06-17,97.0,103.0,92.0,103.0,1138
2020-06-18,95.0,109.0,93.0,109.0,1948
2020-06-19,92.0,94.0,89.0,91.0,2648
2020-06-22,92.0,92.0,87.0,91.0,680
2020-06-23,91.0,91.0,88.0,91.0,1090
2020-06-24,86.0,92.0,82.0,90.0,1474
2020-06-25,91.0,95.0,86.0,93.0,4226
2020-06-26,83.0,90.0,78.0,88.0,3112
2020-06-29,84.0,88.0,81.0,88.0,2865
2020-06-30,80.0,87.0,79.0,84.0,1987
2020-07-01,54.0,80.0,47.0,78.0,28542
2020-07-02,38.0,40.0,37.0,39.0,282818
2020-07-06,42.0,42.0,39.0,39.0,181648
2020-07-07,52.0,57.0,47.0,52.0,373089
2020-07-08,46.0,49.0,43.0,49.0,103587
2020-07-09,43.0,44.0,41.0,44.0,53326
2020-07-10,44.0,45.0,42.0,43.0,38794
2020-07-13,41.0,43.0,40.0,42.0,55520
2020-07-14,41.0,42.0,39.0,41.0,32365
2020-07-15,43.0,43.0,40.0,40.0,27738
2020-07-16,49.0,52.0,41.0,42.0,116853
2020-07-17,45.0,48.0,43.0,48.0,65290
2020-07-20,46.0,47.0,45.0,45.0,32029
2020-07-21,48.0,49.0,46.0,47.0,46286
2020-07-22,50.0,55.0,48.0,48.0,97475
2020-07-23,49.0,52.0,48.0,50.0,37437
2020-07-24,47.0,48.0,44.0,48.0,26303
2020-07-27,48.0,49.0,47.0,49.0,19545
2020-07-28,48.0,52.0,46.0,47.0,33214
2020-07-29,47.0,48.0,46.0,47.0,19369
2020-07-30,48.0,49.0,47.0,48.0,29479
2020-07-31,47.0,48.0,45.0,48.0,25007
2020-08-03,43.0,43.0,42.0,42.0,108883
2020-08-04,44.0,45.0,43.0,44.0,49055
2020-08-05,46.0,47.0,43.0,45.0,61530
2020-08-06,46.0,47.0,44.0,47.0,44124
2020-08-07,50.0,51.0,45.0,45.0,101460
2020-08-10,55.0,56.0,51.0,51.0,160650
2020-08-11,53.0,57.0,51.0,57.0,84428
2020-08-12,50.0,53.0,49.0,52.0,59735
2020-08-13,49.0,50.0,47.0,49.0,45561
2020-08-14,51.0,52.0,48.0,49.0,43092
2020-08-17,51.0,53.0,49.0,51.0,38570
2020-08-18,51.0,51.0,48.0,50.0,25288
2020-08-19,51.0,53.0,49.0,50.0,52130
2020-08-20,51.0,52.0,49.0,52.0,40164
2020-08-21,50.0,51.0,49.0,51.0,27383
2020-08-24,46.0,49.0,46.0,49.0,45659
2020-08-25,49.0,49.0,46.0,46.0,25625
2020-08-26,50.0,50.0,47.0,49.0,23226
2020-08-27,47.0,49.0,45.0,49.0,67379
2020-08-28,47.0,47.0,45.0,46.0,26310
2020-08-31,47.0,47.0,45.0,47.0,21476
2020-09-01,44.0,46.0,42.0,46.0,55688
2020-09-02,44.0,44.0,42.0,43.0,35923
2020-09-03,41.0,44.0,40.0,42.0,48531
2020-09-04,40.0,41.0,37.0,40.0,41699
2020-09-08,38.0,39.0,37.0,38.0,31759
2020-09-09,39.0,42.0,37.0,37.0,47602
2020-09-10,38.0,39.0,38.0,39.0,27900
2020-09-11,38.0,39.0,37.0,38.0,19039
2020-09-14,38.0,38.0,34.0,38.0,44316
2020-09-15,38.0,39.0,37.0,39.0,19702
2020-09-16,38.0,39.0,36.0,37.0,44060
2020-09-17,37.0,37.0,36.0,37.0,23880
2020-09-18,37.0,38.0,36.0,37.0,12700
2020-09-21,36.0,37.0,36.0,36.0,11377
2020-09-22,39.0,41.0,37.0,37.0,41910
2020-09-23,35.0,40.0,35.0,39.0,21825
2020-09-24,34.0,35.0,33.0,34.0,25418
2020-09-25,35.0,36.0,33.0,33.0,13860
2020-09-28,34.0,36.0,34.0,36.0,11925
2020-09-29,36.0,36.0,34.0,35.0,8883
2020-09-30,35.0,36.0,35.0,36.0,8398
2020-10-01,36.0,36.0,35.0,35.0,8395
2020-10-02,36.0,38.0,34.0,36.0,11120
2020-10-05,37.0,38.0,35.0,36.0,9576
2020-10-06,36.0,37.0,36.0,37.0,10801
2020-10-07,37.0,38.0,35.0,36.0,16433
2020-10-08,38.0,39.0,37.0,39.0,10699
2020-10-09,39.0,40.0,38.0,39.0,5284
2020-10-12,37.0,39.0,36.0,39.0,10361
2020-10-13,38.0,38.0,36.0,37.0,6691
2020-10-14,39.0,39.0,37.0,37.0,8807
2020-10-15,37.0,38.0,37.0,37.0,9039
2020-10-16,37.0,38.0,37.0,37.0,8244
2020-10-19,36.0,37.0,36.0,37.0,6327
2020-10-20,36.0,36.0,35.0,36.0,5992
2020-10-21,36.0,36.0,34.0,35.0,11976
2020-10-22,35.0,36.0,34.0,35.0,8097
2020-10-23,36.0,36.0,35.0,35.0,5201
2020-10-26,35.0,38.0,35.0,37.0,16872
2020-10-27,35.0,36.0,34.0,35.0,6048
2020-10-28,33.0,34.0,33.0,34.0,9300
2020-10-29,33.0,34.0,33.0,34.0,8887
2020-10-30,31.0,33.0,30.0,33.0,20692
2020-11-02,30.0,32.0,29.0,32.0,10853
2020-11-03,32.0,32.0,30.0,30.0,6426
2020-11-04,32.0,33.0,31.0,32.0,4930
2020-11-05,32.0,32.0,30.0,32.0,3048
2020-11-06,31.0,32.0,30.0,31.0,13050
2020-11-09,30.0,32.0,29.0,31.0,11354
2020-11-10,31.0,31.0,29.0,31.0,6297
2020-11-11,32.0,32.0,30.0,30.0,8219
