Price,Close,High,Low,Open,Volume
Ticker,ENVB,ENVB,ENVB,ENVB,ENVB
Date,,,,,
2020-01-28,290.0,298.0,278.0,288.0,117
2020-01-29,284.0,297.3999938964844,282.0,290.0,110
2020-01-30,282.0,286.0,268.20001220703125,284.0,118
2020-01-31,262.0,288.0,255.8000030517578,274.0,186
2020-02-03,250.0,260.0,248.0,258.0,222
2020-02-04,260.0,280.0,242.0,250.0,827
2020-02-05,264.0,279.3999938964844,252.0,260.0,141
2020-02-06,276.0,284.0,266.0,284.0,186
2020-02-07,266.0,278.79998779296875,266.0,274.0,68
2020-02-10,268.0,294.0,266.0,294.0,135
2020-02-11,271.79998779296875,272.0,254.0,270.0,209
2020-02-12,280.0,284.0,254.8000030517578,254.8000030517578,76
2020-02-13,266.0,278.0,258.0,264.0,73
2020-02-14,266.0,270.0,260.0,260.0,54
2020-02-18,262.0,270.79998779296875,260.0,266.0,63
2020-02-19,254.0,260.0,250.0,260.0,153
2020-02-20,260.0,269.79998779296875,244.0,269.79998779296875,99
2020-02-21,258.0,270.0,246.0,265.0,69
2020-02-24,258.0,268.0,244.0,268.0,65
2020-02-25,245.1999969482422,258.0,240.0,258.0,143
2020-02-26,252.0,253.8000030517578,241.8000030517578,252.0,94
2020-02-27,234.0,243.0,218.0,242.0,337
2020-02-28,229.39999389648438,232.0,206.0,218.0,319
2020-03-02,228.0,234.8000030517578,224.0,224.0,65
2020-03-03,224.0,226.0,210.0,226.0,132
2020-03-04,230.1999969482422,234.0,223.60000610351562,224.0,75
2020-03-05,220.0,237.39999389648438,210.0,230.0,112
2020-03-06,224.0,228.0,212.0,212.0,103
2020-03-09,206.0,218.0,204.0,210.0,244
2020-03-10,186.0,214.0,180.0,207.60000610351562,217
2020-03-11,210.0,214.0,185.39999389648438,190.0,221
2020-03-12,184.1999969482422,199.1999969482422,180.0,182.0,71
2020-03-13,180.0,196.0,180.0,182.0,134
2020-03-16,175.0,184.0,164.0,166.0,150
2020-03-17,158.0,182.0,156.1999969482422,170.0,316
2020-03-18,132.0,166.0,125.19999694824219,166.0,167
