Price,Close,High,Low,Open,Volume
Ticker,LAZR,LAZR,LAZR,LAZR,LAZR
Date,,,,,
2020-01-28,159.0,159.0,159.0,159.0,0
2020-01-29,158.39999389648438,158.39999389648438,158.39999389648438,158.39999389648438,13
2020-01-30,159.0,159.0,159.0,159.0,40
2020-01-31,159.0,159.0,159.0,159.0,0
2020-02-03,158.7899932861328,158.7899932861328,158.7899932861328,158.7899932861328,13
2020-02-04,158.6999969482422,159.27000427246094,158.6999969482422,159.27000427246094,100
2020-02-05,159.0,159.75,159.0,159.75,18760
2020-02-06,159.0749969482422,159.0749969482422,159.0,159.0,393
2020-02-07,159.0,159.0,159.0,159.0,13340
2020-02-10,159.0,159.60000610351562,158.6999969482422,158.6999969482422,3480
2020-02-11,159.0,159.14999389648438,159.0,159.0,7880
2020-02-12,159.0,159.0,159.0,159.0,0
2020-02-13,158.625,158.625,158.625,158.625,200
2020-02-14,158.85000610351562,158.85000610351562,158.25,158.25,40
2020-02-18,158.25,158.25,158.25,158.25,47
2020-02-19,159.0,159.75,159.0,159.0,3620
2020-02-20,159.0,159.0,159.0,159.0,7
2020-02-21,159.14999389648438,159.14999389648438,159.0,159.0,13420
2020-02-24,157.64999389648438,159.0,157.64999389648438,159.0,6687
2020-02-25,158.6999969482422,158.6999969482422,158.6999969482422,158.6999969482422,33
2020-02-26,158.25,158.25,158.25,158.25,4133
2020-02-27,158.5800018310547,158.5800018310547,158.5800018310547,158.5800018310547,33
2020-02-28,159.0,159.0,157.35000610351562,157.8000030517578,18040
2020-03-02,159.0,159.0,158.625,158.9250030517578,6667
2020-03-03,159.0,159.0,159.0,159.0,0
2020-03-04,159.0,159.0,159.0,159.0,73
2020-03-05,159.0,159.0,157.5,159.0,287
2020-03-06,159.0,159.0,159.0,159.0,0
2020-03-09,159.0,159.0,159.0,159.0,0
2020-03-10,157.8300018310547,159.0,156.3000030517578,157.8300018310547,4380
2020-03-11,157.5,157.5,157.5,157.5,20000
2020-03-12,157.5,157.5,157.5,157.5,0
2020-03-13,157.5,161.25,148.9499969482422,161.25,1780
2020-03-16,145.9499969482422,156.75,145.9499969482422,148.5,102833
2020-03-17,150.0,156.75,146.25,146.25,12027
2020-03-18,145.5,145.5,144.0,145.5,37687
2020-03-19,144.0,149.6999969482422,141.75,144.14999389648438,67680
2020-03-20,146.39999389648438,156.60000610351562,146.25,146.25,21413
2020-03-23,146.25,147.60000610351562,145.5,147.60000610351562,747
2020-03-24,146.39999389648438,149.10000610351562,142.64999389648438,142.64999389648438,36987
2020-03-25,149.85000610351562,156.60000610351562,149.6999969482422,150.0,14040
2020-03-26,149.85000610351562,149.85000610351562,149.85000610351562,149.85000610351562,0
2020-03-27,148.5,148.5,148.5,148.5,11693
2020-03-30,148.5,156.3000030517578,147.75,148.35000610351562,1420
2020-03-31,152.39999389648438,153.52499389648438,148.5,148.5,4107
2020-04-01,152.25,152.39999389648438,152.10000610351562,152.10000610351562,393
2020-04-02,151.5,154.5,150.0,151.8000030517578,3907
2020-04-03,150.0,150.0,150.0,150.0,40
2020-04-06,149.25,151.5,149.25,150.89999389648438,53
2020-04-07,149.25,150.0,148.0500030517578,148.5,24013
2020-04-08,151.0500030517578,151.0500030517578,150.0,150.0,353
2020-04-09,151.36500549316406,151.4250030517578,151.36500549316406,151.36500549316406,207
2020-04-13,151.36500549316406,151.36500549316406,151.36500549316406,151.36500549316406,0
2020-04-14,151.35000610351562,151.64999389648438,150.0,151.5,287
2020-04-15,150.4499969482422,150.4499969482422,150.4499969482422,150.4499969482422,27
2020-04-16,151.1999969482422,151.35000610351562,150.75,150.75,53233
2020-04-17,151.5,151.78500366210938,151.125,151.78500366210938,41820
2020-04-20,151.5,151.5,151.5,151.5,153
2020-04-21,151.0500030517578,152.10000610351562,150.89999389648438,151.0500030517578,19493
2020-04-22,155.25,156.0,151.0500030517578,151.0500030517578,10407
