Price,Close,High,Low,Open,Volume
Ticker,RETO,RETO,RETO,RETO,RETO
Date,,,,,
2020-01-28,925.0,970.0,886.0,886.0,226
2020-01-29,1150.0,1220.0,950.0,950.0,154
2020-01-30,1340.0,1650.0,1077.0,1100.0,283
2020-01-31,1120.0,1431.0,1110.0,1270.0,40
2020-02-03,1150.0,1150.0,1010.0,1080.0,12
2020-02-04,1020.0,1150.0,1010.0,1150.0,25
2020-02-05,915.0,1070.0,910.0,1070.0,25
2020-02-06,950.0,990.0,925.0,967.0,6
2020-02-07,1010.0,1010.0,950.0,950.0,8
2020-02-10,920.0,1010.0,920.0,1010.0,5
2020-02-11,920.0,980.0,915.0,920.0,7
2020-02-12,962.0,966.0,920.0,966.0,3
2020-02-13,970.0,970.0,960.0,960.0,2
2020-02-14,967.0,967.0,870.0,910.0,8
2020-02-18,955.0,973.0,890.0,933.0,21
2020-02-19,850.0,930.0,821.0,930.0,18
2020-02-20,859.0,950.0,855.0,896.0,2
2020-02-21,837.0,910.0,837.0,910.0,4
2020-02-24,845.0,930.0,845.0,890.0,7
2020-02-25,900.0,950.0,860.0,900.0,12
2020-02-26,876.0,915.0,810.0,915.0,3
2020-02-27,815.0,920.0,815.0,920.0,1
2020-02-28,700.0,932.0,700.0,932.0,19
2020-03-02,738.0,759.0,736.0,745.0,4
2020-03-03,777.0,777.0,777.0,777.0,2
2020-03-04,730.0,730.0,730.0,730.0,2
2020-03-05,730.0,742.0,718.0,730.0,6
2020-03-06,730.0,757.0,730.0,730.0,8
2020-03-09,730.0,740.0,730.0,740.0,1
2020-03-10,706.0,706.0,650.0,650.0,0
2020-03-11,706.0,706.0,706.0,706.0,0
2020-03-12,718.0,718.0,581.0,581.0,34
2020-03-13,610.0,720.0,610.0,720.0,10
2020-03-16,680.0,730.0,680.0,680.0,16
2020-03-17,680.0,680.0,680.0,680.0,0
2020-03-18,601.0,642.0,601.0,642.0,10
2020-03-19,600.0,700.0,300.0,576.0,8
2020-03-20,580.0,580.0,500.0,500.0,26
2020-03-23,553.0,553.0,550.0,551.0,2
2020-03-24,553.0,597.0,500.0,500.0,16
2020-03-25,561.0,580.0,552.0,580.0,5
2020-03-26,561.0,561.0,561.0,561.0,2
2020-03-27,548.0,560.0,500.0,500.0,8
2020-03-30,500.0,560.0,500.0,558.0,21
2020-03-31,500.0,707.0,500.0,560.0,56
2020-04-01,520.0,525.0,500.0,500.0,3
2020-04-02,500.0,520.0,500.0,501.0,5
2020-04-03,502.0,520.0,500.0,500.0,4
2020-04-06,500.0,520.0,425.0,510.0,5
2020-04-07,510.0,510.0,500.0,500.0,6
2020-04-08,510.0,512.0,500.0,500.0,13
2020-04-09,530.0,530.0,490.0,500.0,14
2020-04-13,502.0,520.0,490.0,490.0,22
2020-04-14,530.0,540.0,500.0,510.0,643
2020-04-15,530.0,557.0,510.0,536.0,33
2020-04-16,530.0,549.0,510.0,549.0,8
2020-04-17,519.0,540.0,510.0,540.0,14
2020-04-20,460.0,520.0,430.0,508.0,56
2020-04-21,500.0,510.0,409.0,470.0,6
2020-04-22,490.0,540.0,490.0,540.0,4
2020-04-23,512.0,530.0,490.0,530.0,10
2020-04-24,500.0,500.0,420.0,500.0,9
2020-04-27,500.0,520.0,420.0,420.0,6
2020-04-28,500.0,520.0,420.0,520.0,5
2020-04-29,500.0,510.0,421.0,481.0,24
2020-04-30,500.0,500.0,461.0,490.0,3
2020-05-01,490.0,500.0,480.0,480.0,3
2020-05-04,474.0,474.0,430.0,430.0,4
2020-05-05,480.0,480.0,480.0,480.0,2
2020-05-06,560.0,590.0,490.0,490.0,39
2020-05-07,560.0,600.0,513.0,588.0,22
2020-05-08,540.0,562.0,540.0,560.0,3
2020-05-11,510.0,547.0,490.0,506.0,6
2020-05-12,500.0,507.0,500.0,502.0,5
2020-05-13,520.0,561.0,500.0,550.0,5
2020-05-14,511.0,520.0,510.0,520.0,11
2020-05-15,525.0,580.0,511.0,511.0,18
2020-05-18,581.0,640.0,529.0,548.0,17
2020-05-19,631.0,637.0,580.0,580.0,9
2020-05-20,780.0,936.0,620.0,620.0,92
2020-05-21,1140.0,1430.0,741.0,796.0,668
2020-05-22,1050.0,1420.0,1020.0,1140.0,320
2020-05-26,940.0,1030.0,900.0,1030.0,84
2020-05-27,950.0,1205.0,910.0,930.0,76
2020-05-28,1200.0,1300.0,950.0,1000.0,76
2020-05-29,1060.0,1200.0,990.0,1150.0,43
2020-06-01,1030.0,1060.0,938.0,1060.0,36
2020-06-02,943.0,1030.0,939.0,1030.0,24
2020-06-03,980.0,1040.0,937.0,1040.0,13
2020-06-04,920.0,1000.0,910.0,975.0,16
2020-06-05,975.0,1000.0,880.0,910.0,66
2020-06-08,920.0,1000.0,920.0,970.0,22
2020-06-09,940.0,1030.0,920.0,990.0,42
2020-06-10,1140.0,1220.0,911.0,1000.0,167
2020-06-11,1049.0,1200.0,980.0,1020.0,68
2020-06-12,1260.0,1680.0,1000.0,1106.0,2346
2020-06-15,1080.0,1250.0,1010.0,1250.0,145
2020-06-16,1060.0,1190.0,1050.0,1190.0,85
2020-06-17,1020.0,1100.0,1000.0,1090.0,119
2020-06-18,1032.0,1100.0,1000.0,1050.0,119
2020-06-19,1100.0,1180.0,1000.0,1100.0,527
2020-06-22,1240.0,1300.0,1040.0,1040.0,243
2020-06-23,1230.0,1240.0,1150.0,1240.0,121
2020-06-24,1270.0,1290.0,1150.0,1230.0,120
2020-06-25,1240.0,1420.0,1170.0,1170.0,106
2020-06-26,1320.0,1500.0,1150.0,1200.0,591
2020-06-29,1360.0,1470.0,1250.0,1310.0,196
2020-06-30,1320.0,1330.0,1250.0,1330.0,51
2020-07-01,1280.0,1320.0,1230.0,1300.0,66
2020-07-02,1260.0,1300.0,1230.0,1260.0,94
2020-07-06,1225.0,1270.0,1188.0,1270.0,15
2020-07-07,1170.0,1230.0,1160.0,1225.0,9
2020-07-08,1100.0,1185.0,1070.0,1160.0,33
2020-07-09,1040.0,1130.0,1040.0,1060.0,36
2020-07-10,1440.0,1920.0,1230.0,1670.0,16985
2020-07-13,1350.0,1390.0,1181.0,1280.0,1311
2020-07-14,1050.0,1210.0,990.0,1190.0,528
2020-07-15,1040.0,1040.0,1000.0,1030.0,183
2020-07-16,1020.0,1090.0,1000.0,1000.0,155
2020-07-17,1050.0,1072.0,1020.0,1050.0,118
2020-07-20,1030.0,1080.0,1010.0,1030.0,70
2020-07-21,1040.0,1060.0,1039.0,1040.0,48
2020-07-22,1020.0,1050.0,979.0,1040.0,97
2020-07-23,1002.0,1280.0,980.0,1100.0,991
2020-07-24,992.0,1030.0,920.0,980.0,156
2020-07-27,914.0,970.0,870.0,960.0,166
2020-07-28,885.0,905.0,850.0,900.0,86
2020-07-29,830.0,900.0,820.0,900.0,87
2020-07-30,874.0,918.0,824.0,831.0,76
2020-07-31,860.0,930.0,850.0,930.0,37
2020-08-03,896.0,908.0,860.0,870.0,24
2020-08-04,878.0,916.0,860.0,900.0,22
2020-08-05,905.0,906.0,860.0,890.0,15
2020-08-06,890.0,905.0,870.0,880.0,29
2020-08-07,880.0,908.0,860.0,891.0,12
2020-08-10,880.0,898.0,876.0,890.0,48
2020-08-11,864.0,900.0,864.0,881.0,13
2020-08-12,850.0,914.0,840.0,914.0,20
2020-08-13,810.0,888.0,782.0,850.0,39
2020-08-14,790.0,837.0,780.0,801.0,81
2020-08-17,790.0,840.0,780.0,802.0,53
2020-08-18,761.0,805.0,752.0,780.0,47
2020-08-19,730.0,761.0,663.0,750.0,69
2020-08-20,755.0,786.0,710.0,770.0,19
2020-08-21,719.0,780.0,650.0,770.0,32
2020-08-24,669.0,755.0,620.0,630.0,62
2020-08-25,700.0,700.0,640.0,640.0,20
2020-08-26,650.0,700.0,630.0,700.0,29
2020-08-27,710.0,980.0,639.0,639.0,2828
2020-08-28,630.0,700.0,622.0,686.0,155
2020-08-31,610.0,670.0,600.0,670.0,37
2020-09-01,604.0,652.0,600.0,630.0,31
2020-09-02,573.0,630.0,552.0,605.0,40
2020-09-03,585.0,606.0,560.0,560.0,15
2020-09-04,730.0,1140.0,632.0,702.0,31009
2020-09-08,652.0,660.0,560.0,611.0,1587
2020-09-09,515.0,640.0,510.0,570.0,700
2020-09-10,502.0,533.0,450.0,518.0,2332
2020-09-11,470.0,508.0,430.0,500.0,462
2020-09-14,466.0,474.0,422.0,461.0,184
2020-09-15,476.0,490.0,440.0,450.0,158
2020-09-16,600.0,720.0,502.0,560.0,12227
2020-09-17,572.0,580.0,520.0,535.0,843
2020-09-18,563.0,580.0,535.0,550.0,448
2020-09-21,540.0,570.0,532.0,558.0,353
2020-09-22,516.0,560.0,490.0,535.0,366
2020-09-23,480.0,518.0,475.0,481.0,462
2020-09-24,496.0,519.0,450.0,477.0,378
2020-09-25,516.0,570.0,450.0,521.0,273
2020-09-28,500.0,535.0,470.0,535.0,183
2020-09-29,527.0,540.0,500.0,540.0,66
2020-09-30,500.0,520.0,496.0,500.0,107
2020-10-01,494.0,526.0,490.0,500.0,67
2020-10-02,500.0,514.0,468.0,490.0,127
2020-10-05,539.0,539.0,484.0,484.0,315
2020-10-06,520.0,539.0,490.0,527.0,268
2020-10-07,528.0,544.0,485.0,514.0,406
2020-10-08,529.0,539.0,501.0,514.0,184
2020-10-09,570.0,820.0,520.0,530.0,7786
2020-10-12,576.0,640.0,550.0,570.0,968
2020-10-13,695.0,719.0,610.0,620.0,2493
2020-10-14,728.0,770.0,650.0,660.0,1543
2020-10-15,640.0,720.0,575.0,720.0,995
2020-10-16,580.0,665.0,560.0,582.0,503
2020-10-19,736.0,753.0,560.0,570.0,4919
2020-10-20,710.0,740.0,655.0,717.0,964
2020-10-21,780.0,850.0,690.0,690.0,3985
2020-10-22,790.0,870.0,732.0,809.0,2050
2020-10-23,775.0,810.0,740.0,780.0,529
2020-10-26,731.0,780.0,680.0,746.0,777
2020-10-27,728.0,730.0,640.0,699.0,289
2020-10-28,723.0,723.0,674.0,686.0,245
2020-10-29,758.0,790.0,670.0,690.0,720
2020-10-30,758.0,820.0,728.0,750.0,634
2020-11-02,639.0,727.0,632.0,725.0,423
2020-11-03,635.0,708.0,635.0,647.0,154
2020-11-04,585.0,635.0,580.0,635.0,314
2020-11-05,651.0,700.0,585.0,610.0,580
2020-11-06,635.0,690.0,630.0,681.0,114
2020-11-09,625.0,660.0,625.0,638.0,179
2020-11-10,602.0,640.0,600.0,625.0,109
2020-11-11,610.0,645.0,610.0,610.0,67
2020-11-12,600.0,652.0,590.0,611.0,181
2020-11-13,580.0,625.0,580.0,610.0,117
2020-11-16,560.0,600.0,560.0,589.0,163
2020-11-17,551.0,586.0,532.0,570.0,192
2020-11-18,583.0,590.0,545.0,550.0,171
2020-11-19,574.0,599.0,560.0,590.0,292
2020-11-20,570.0,589.0,570.0,579.0,93
2020-11-23,613.0,620.0,558.0,588.0,335
2020-11-24,610.0,650.0,600.0,639.0,237
2020-11-25,648.0,680.0,645.0,660.0,417
2020-11-27,680.0,695.0,625.0,669.0,345
2020-11-30,660.0,740.0,635.0,731.0,303
2020-12-01,603.0,670.0,585.0,670.0,370
2020-12-02,673.0,760.0,605.0,610.0,2978
2020-12-03,694.0,700.0,627.0,675.0,2065
2020-12-04,682.0,844.0,680.0,820.0,7634
2020-12-07,680.0,720.0,652.0,720.0,927
2020-12-08,670.0,720.0,645.0,660.0,1010
2020-12-09,670.0,709.0,666.0,672.0,876
2020-12-10,682.0,697.0,670.0,670.0,573
2020-12-11,640.0,680.0,640.0,675.0,464
2020-12-14,640.0,670.0,640.0,651.0,296
2020-12-15,623.0,652.0,601.0,650.0,354
2020-12-16,640.0,650.0,613.0,625.0,217
2020-12-17,675.0,690.0,640.0,650.0,641
2020-12-18,675.0,690.0,664.0,675.0,269
2020-12-21,670.0,693.0,662.0,693.0,216
2020-12-22,623.0,645.0,611.0,629.0,714
2020-12-23,627.0,650.0,610.0,624.0,489
2020-12-24,620.0,665.0,618.0,653.0,195
2020-12-28,667.0,675.0,610.0,630.0,772
2020-12-29,630.0,660.0,615.0,660.0,380
2020-12-30,630.0,660.0,629.0,650.0,357
2020-12-31,665.0,675.0,631.0,640.0,631
2021-01-04,676.0,698.0,670.0,690.0,924
2021-01-05,767.0,777.0,685.0,700.0,2957
2021-01-06,725.0,815.0,675.0,760.0,2115
2021-01-07,740.0,790.0,720.0,743.0,528
2021-01-08,760.0,780.0,735.0,770.0,393
2021-01-11,770.0,869.0,760.0,780.0,3000
2021-01-12,875.0,899.0,770.0,770.0,1567
2021-01-13,877.0,890.0,800.0,830.0,1949
2021-01-14,843.0,870.0,830.0,860.0,641
2021-01-15,809.0,850.0,809.0,839.0,383
2021-01-19,944.0,950.0,810.0,821.0,2897
2021-01-20,995.0,1110.0,910.0,946.0,3094
2021-01-21,950.0,1000.0,920.0,1000.0,878
2021-01-22,920.0,955.0,880.0,950.0,530
2021-01-25,957.0,1000.0,900.0,950.0,752
2021-01-26,912.0,980.0,910.0,967.0,419
2021-01-27,880.0,910.0,870.0,880.0,442
2021-01-28,900.0,956.0,870.0,940.0,802
2021-01-29,881.0,940.0,860.0,923.0,383
2021-02-01,939.0,998.0,838.0,898.0,1865
2021-02-02,905.0,940.0,871.0,940.0,445
2021-02-03,944.0,989.0,900.0,911.0,635
2021-02-04,1160.0,1200.0,955.0,955.0,2959
2021-02-05,1090.0,1120.0,1000.0,1100.0,1055
2021-02-08,1110.0,1120.0,1050.0,1080.0,604
2021-02-09,1300.0,1330.0,1080.0,1110.0,3054
2021-02-10,1230.0,1350.0,1140.0,1310.0,1310
2021-02-11,1300.0,1500.0,1230.0,1230.0,2258
2021-02-12,1200.0,1333.0,1142.0,1310.0,1053
2021-02-16,1290.0,1320.0,1210.0,1220.0,627
2021-02-17,1250.0,1350.0,1200.0,1330.0,527
2021-02-18,1180.0,1260.0,1130.0,1250.0,364
2021-02-19,1180.0,1250.0,1180.0,1200.0,8200
2021-02-22,2340.0,3660.0,2130.0,3030.0,133586
2021-02-23,2550.0,2800.0,2120.0,2610.0,32092
2021-02-24,2310.0,2360.0,2000.0,2200.0,6202
2021-02-25,1850.0,2170.0,1770.0,2100.0,2714
2021-02-26,1740.0,1860.0,1630.0,1800.0,1139
2021-03-01,1770.0,1890.0,1720.0,1820.0,929
2021-03-02,1870.0,1980.0,1782.0,1870.0,2206
2021-03-03,1680.0,1850.0,1660.0,1850.0,635
2021-03-04,2050.0,2530.0,1820.0,1871.0,99034
2021-03-05,1740.0,2020.0,1460.0,1930.0,6245
2021-03-08,1620.0,1760.0,1580.0,1633.0,1430
2021-03-09,1810.0,1890.0,1560.0,1600.0,1842
2021-03-10,1710.0,1880.0,1660.0,1880.0,887
2021-03-11,1740.0,1780.0,1650.0,1680.0,831
2021-03-12,1910.0,1940.0,1670.0,1700.0,618
2021-03-15,1830.0,1980.0,1801.0,1860.0,428
2021-03-16,1750.0,1910.0,1720.0,1910.0,403
2021-03-17,1810.0,1850.0,1710.0,1760.0,246
2021-03-18,1770.0,1860.0,1710.0,1820.0,488
2021-03-19,1790.0,1920.0,1680.0,1750.0,1396
