Price,Close,High,Low,Open,Volume
Ticker,SCNI,SCNI,SCNI,SCNI,SCNI
Date,,,,,
2020-01-28,1125.0,1195.0,1110.0,1194.0,481
2020-01-29,1165.0,1225.0,1125.0,1200.0,759
2020-01-30,1159.0,1290.0,1135.0999755859375,1280.0,662
2020-01-31,1094.0,1159.0,1071.199951171875,1155.0,357
2020-02-03,967.0,1130.0,845.0,1130.0,1763
2020-02-04,1008.0,1018.2000122070312,968.0,968.0,324
2020-02-05,1045.0,1095.0,985.9000244140625,1044.0,685
2020-02-06,972.0,1089.0,882.0,1075.0,944
2020-02-07,1000.0,1032.699951171875,949.0,972.0,296
2020-02-10,1003.0,1050.0,991.0,1040.0,378
2020-02-11,952.0,1019.0,941.0,1003.0,192
2020-02-12,918.0,991.0,918.0,991.0,119
2020-02-13,855.0,920.0,855.0,913.0,533
2020-02-14,878.0,908.0,864.0,900.0,367
2020-02-18,889.0,898.0,878.0,896.0,113
2020-02-19,915.0,923.7999877929688,861.0,900.0,365
2020-02-20,890.0,911.0,880.0,905.0,86
2020-02-21,915.0,915.0,885.0,901.0,45
2020-02-24,877.0,929.7000122070312,860.0,915.0,212
2020-02-25,855.0,915.0,855.0,879.0,332
2020-02-26,850.0,880.0,840.0,879.0,228
2020-02-27,840.0,850.0,802.0,821.0,266
2020-02-28,818.0,850.9000244140625,744.0,831.0,573
2020-03-02,850.0,860.0,801.0,820.0,324
2020-03-03,851.0,909.0,808.0,909.0,237
2020-03-04,839.0,877.0,813.0,876.0,72
2020-03-05,820.0,864.0,786.0,786.0,156
2020-03-06,824.0,846.9000244140625,812.0,820.0,176
2020-03-09,713.0,805.0,672.5999755859375,805.0,547
2020-03-10,740.0,740.0,712.0,712.0,102
2020-03-11,653.5,719.0999755859375,652.0,713.0,453
2020-03-12,550.0,631.4000244140625,520.0,631.0,755
2020-03-13,622.5,650.0,577.0,577.0,177
2020-03-16,536.0,593.0,536.0,536.0,457
2020-03-17,601.0,613.0,537.0,537.0,265
2020-03-18,553.0,609.5,540.0,573.0,282
2020-03-19,600.0,685.0,553.0,584.0,289
2020-03-20,620.0,641.0,610.0,610.0,162
2020-03-23,725.0,750.0,640.0,640.0,342
2020-03-24,705.0,828.9000244140625,705.0,750.0,521
2020-03-25,715.0,774.0,700.0,766.0,125
2020-03-26,752.0,773.0,730.0,740.0,230
2020-03-27,715.0,780.0,715.0,754.0,151
2020-03-30,766.0,780.0,719.2000122070312,779.0,90
2020-03-31,770.0,779.0,721.0,750.0,57
2020-04-01,732.5,748.0,730.0,748.0,47
2020-04-02,734.0,771.9000244140625,732.0,754.0,49
2020-04-03,720.0,759.0,720.0,759.0,172
2020-04-06,730.0,755.7000122070312,722.0,722.0,87
2020-04-07,768.0,780.0,735.0,779.0,371
2020-04-08,740.0,795.0,740.0,775.0,129
2020-04-09,750.7999877929688,780.0,738.9000244140625,780.0,109
2020-04-13,770.0,798.7999877929688,760.0999755859375,783.0,127
2020-04-14,830.0,917.7000122070312,780.0,780.0,491
2020-04-15,820.0,866.0,820.0,834.0,134
2020-04-16,843.5,875.0,820.0,821.0,227
2020-04-17,899.0,899.0,845.0,850.0,250
2020-04-20,946.0999755859375,978.0,915.0,937.0,456
2020-04-21,900.0,973.0,796.0,960.0,417
2020-04-22,901.0,919.0,875.0,919.0,119
2020-04-23,935.0,953.2000122070312,896.0,896.0,90
2020-04-24,920.0,934.0,900.0,907.0,115
2020-04-27,911.0,928.0,900.0,928.0,161
2020-04-28,1124.300048828125,1169.300048828125,1000.0,1025.0,2368
2020-04-29,1550.0,1550.0,1224.0,1224.0,4379
2020-04-30,1350.0,1795.0,1326.0,1723.0,3685
2020-05-01,1370.0,1370.0,1162.0,1350.0,1347
2020-05-04,1600.0,1680.0,1452.0,1680.0,1523
2020-05-05,1677.0,1780.0,1602.0,1700.0,1707
2020-05-06,1765.5,1780.0,1681.0,1700.0,1269
2020-05-07,1586.0,1800.0,1575.0,1800.0,1244
2020-05-08,1557.0,1610.0,1550.0,1586.0,607
2020-05-11,1573.0,1590.5,1520.0,1521.0,688
2020-05-12,1700.0,1726.0,1571.0,1600.0,815
2020-05-13,1621.5,1722.0,1550.0,1700.0,778
2020-05-14,1540.0,1662.4000244140625,1500.0,1630.0,942
2020-05-15,1698.0,1749.0,1502.0,1570.0,1373
2020-05-18,1846.0,1950.0,1733.0,1779.0,1447
2020-05-19,1950.0,1950.0,1855.0,1942.0,929
2020-05-20,2000.0,2000.0,1892.0,1950.0,783
2020-05-21,2467.0,2490.0,2035.0,2035.0,2019
2020-05-22,2165.0,2550.0,2100.0,2542.0,1728
2020-05-26,1900.0,2265.0,1900.0,2250.0,1569
2020-05-27,2086.0,2149.0,1874.0,1874.0,978
2020-05-28,2057.0,2149.0,1921.0,2101.0,962
2020-05-29,1990.0,2060.0,1855.0,2042.0,651
2020-06-01,2094.0,2100.0,1936.0,2000.0,574
2020-06-02,2030.0,2100.0,1984.0,2100.0,256
2020-06-03,1975.0,2088.0,1960.0,2088.0,467
2020-06-04,1914.0,2032.0,1859.0,1975.0,604
2020-06-05,1832.0,1913.0,1811.0,1900.0,542
2020-06-08,1865.0,1885.0,1646.5999755859375,1800.0,1029
2020-06-09,1840.0,2059.0,1780.0,1823.0,597
2020-06-10,2030.0,2059.0,1913.0,2030.0,703
2020-06-11,1806.0,1979.5,1763.800048828125,1963.0,686
2020-06-12,2000.0,2000.0,1846.0,1846.0,571
2020-06-15,1942.0,2000.0,1906.0,2000.0,278
2020-06-16,2018.0,2050.0,1910.0,2000.0,769
2020-06-17,1927.0,2048.0,1910.0,2046.0,382
2020-06-18,2020.0,2020.0,1930.0,1976.0,446
2020-06-19,2390.0,2390.0,2004.9000244140625,2087.0,2542
2020-06-22,2368.0,2500.0,2259.0,2452.0,1019
2020-06-23,2487.0,2500.0,2422.0,2500.0,857
2020-06-24,2408.0,2478.0,2271.0,2400.0,723
2020-06-25,2402.0,2500.0,2273.0,2346.0,850
2020-06-26,2465.0,2495.0,2351.0,2402.0,598
2020-06-29,2310.0,2477.0,2301.0,2470.0,536
2020-06-30,2275.0,2350.0,2201.0,2291.0,426
2020-07-01,2370.0,2452.0,2300.0,2300.0,466
2020-07-02,2458.0,2458.0,2335.39990234375,2398.0,370
2020-07-06,2798.0,2899.0,2400.0,2490.0,4117
2020-07-07,3079.0,3350.0,2800.0,2800.0,2589
2020-07-08,3220.0,3472.0,3102.0,3215.0,1689
2020-07-09,3899.0,4175.0,3300.0,3300.0,2493
2020-07-10,4159.0,4249.0,3610.0,3880.0,1601
2020-07-13,5110.0,6200.0,4366.0,4393.0,6311
2020-07-14,4825.0,5688.7001953125,4118.0,5200.0,3588
2020-07-15,4465.0,4950.0,4250.0,4892.0,1898
2020-07-16,4300.0,4498.0,3855.0,4318.0,1720
2020-07-17,4522.0,4598.0,4001.0,4187.0,745
2020-07-20,4860.0,4875.5,4551.0,4646.0,1182
2020-07-21,4834.0,4988.0,4700.0,4932.0,504
2020-07-22,4642.0,4875.0,4600.0,4605.0,417
2020-07-23,4071.0,4595.0,4010.0,4301.0,1149
