Price,Close,High,Low,Open,Volume
Ticker,SOBR,SOBR,SOBR,SOBR,SOBR
Date,,,,,
2020-01-28,429.0,429.0,429.0,429.0,0
2020-01-29,396.0,440.0,396.0,418.0,4
2020-01-30,396.0,396.0,396.0,396.0,0
2020-01-31,429.0,440.0,429.0,440.0,1
2020-02-03,506.0,506.0,506.0,506.0,1
2020-02-04,638.0,638.0,385.0,385.0,0
2020-02-05,605.0,605.0,550.0,550.0,3
2020-02-06,759.0,759.0,649.0,649.0,3
2020-02-07,759.0,759.0,759.0,759.0,0
2020-02-10,649.0,770.0,385.0,770.0,8
2020-02-11,649.0,649.0,649.0,649.0,0
2020-02-12,649.0,649.0,649.0,649.0,0
2020-02-13,495.0,660.0,495.0,660.0,3
2020-02-14,440.0,539.0,440.0,495.0,5
2020-02-18,363.0,440.0,330.0,440.0,4
2020-02-19,363.0,363.0,363.0,363.0,0
2020-02-20,363.0,363.0,363.0,363.0,0
2020-02-21,440.0,440.0,440.0,440.0,1
2020-02-24,550.0,550.0,528.0,528.0,1
2020-02-25,550.0,550.0,528.0,528.0,2
2020-02-26,495.0,594.0,495.0,594.0,2
2020-02-27,495.0,495.0,495.0,495.0,0
2020-02-28,495.0,495.0,495.0,495.0,0
2020-03-02,440.0,440.0,440.0,440.0,2
2020-03-03,440.0,440.0,440.0,440.0,0
2020-03-04,440.0,440.0,440.0,440.0,0
2020-03-05,440.0,440.0,440.0,440.0,0
2020-03-06,495.0,495.0,396.0,396.0,0
2020-03-09,495.0,495.0,495.0,495.0,0
2020-03-10,495.0,495.0,495.0,495.0,0
2020-03-11,451.0,451.0,451.0,451.0,1
2020-03-12,451.0,451.0,451.0,451.0,0
2020-03-13,451.0,451.0,451.0,451.0,0
2020-03-16,495.0,495.0,495.0,495.0,4
2020-03-17,495.0,495.0,495.0,495.0,0
2020-03-18,649.0,649.0,506.0,506.0,0
2020-03-19,495.0,495.0,374.0,374.0,0
2020-03-20,495.0,495.0,495.0,495.0,0
2020-03-23,495.0,495.0,495.0,495.0,0
2020-03-24,495.0,495.0,495.0,495.0,0
2020-03-25,495.0,495.0,495.0,495.0,0
2020-03-26,385.0,429.0,385.0,429.0,3
2020-03-27,385.0,385.0,385.0,385.0,0
2020-03-30,385.0,385.0,385.0,385.0,0
2020-03-31,385.0,385.0,385.0,385.0,0
2020-04-01,385.0,385.0,385.0,385.0,0
2020-04-02,385.0,385.0,385.0,385.0,2
2020-04-03,385.0,385.0,385.0,385.0,0
2020-04-06,385.0,385.0,385.0,385.0,0
2020-04-07,374.0,374.0,374.0,374.0,1
2020-04-08,440.0,440.0,440.0,440.0,0
2020-04-09,462.0,462.0,462.0,462.0,0
2020-04-13,462.0,462.0,462.0,462.0,0
2020-04-14,495.0,495.0,396.0,407.0,1
2020-04-15,495.0,495.0,495.0,495.0,0
2020-04-16,495.0,495.0,495.0,495.0,0
2020-04-17,495.0,495.0,495.0,495.0,0
2020-04-20,682.0,748.0,495.0,495.0,38
2020-04-21,682.0,682.0,682.0,682.0,0
2020-04-22,693.0,693.0,693.0,693.0,1
2020-04-23,660.0,660.0,660.0,660.0,1
2020-04-24,660.0,660.0,660.0,660.0,0
2020-04-27,616.0,660.0,550.0,550.0,13
2020-04-28,693.0,693.0,693.0,693.0,0
2020-04-29,451.0,451.0,330.0,440.0,5
2020-04-30,517.0,550.0,484.0,484.0,3
2020-05-01,605.0,605.0,352.0,352.0,3
2020-05-04,660.0,693.0,605.0,605.0,8
2020-05-05,605.0,693.0,605.0,693.0,5
2020-05-06,605.0,605.0,605.0,605.0,2
2020-05-07,605.0,638.0,605.0,638.0,10
2020-05-08,715.0,726.0,638.0,638.0,21
2020-05-11,671.0,990.0,671.0,770.0,4
2020-05-12,880.0,880.0,671.0,671.0,0
2020-05-13,880.0,880.0,880.0,880.0,4
2020-05-14,880.0,880.0,880.0,880.0,0
2020-05-15,605.0,605.0,572.0,572.0,0
2020-05-18,660.0,759.0,660.0,759.0,0
2020-05-19,660.0,660.0,660.0,660.0,3
2020-05-20,605.0,605.0,605.0,605.0,0
2020-05-21,605.0,605.0,605.0,605.0,0
2020-05-22,605.0,605.0,605.0,605.0,0
2020-05-26,605.0,605.0,605.0,605.0,0
2020-05-27,671.0,671.0,429.0,429.0,0
2020-05-28,880.0,880.0,671.0,671.0,0
2020-05-29,649.0,759.0,429.0,550.0,3
2020-06-01,649.0,649.0,649.0,649.0,0
2020-06-02,649.0,649.0,649.0,649.0,0
2020-06-03,616.0,880.0,616.0,770.0,10
2020-06-04,627.0,968.0,627.0,968.0,2
2020-06-05,748.0,770.0,550.0,550.0,3
2020-06-08,22.440000534057617,22.440000534057617,22.440000534057617,22.440000534057617,0
2020-06-09,693.0,693.0,693.0,693.0,1
2020-06-10,693.0,693.0,693.0,693.0,0
2020-06-11,693.0,693.0,693.0,693.0,0
2020-06-12,693.0,693.0,693.0,693.0,0
2020-06-15,693.0,693.0,693.0,693.0,0
2020-06-16,693.0,693.0,693.0,693.0,0
2020-06-17,801.9000244140625,841.5,801.9000244140625,841.5,1
2020-06-18,990.0,990.0,759.0,759.0,2
2020-06-19,937.2000122070312,983.4000244140625,937.2000122070312,983.4000244140625,9
2020-06-22,976.7999877929688,980.0999755859375,683.0999755859375,683.0999755859375,3
2020-06-23,976.7999877929688,976.7999877929688,976.7999877929688,976.7999877929688,0
2020-06-24,825.0,825.0,683.0999755859375,683.0999755859375,3
2020-06-25,825.0,825.0,825.0,825.0,0
2020-06-26,957.0,957.0,957.0,957.0,0
2020-06-29,957.0,957.0,957.0,957.0,0
2020-06-30,957.0,1138.5,953.7000122070312,953.7000122070312,7
2020-07-01,957.0,957.0,957.0,957.0,0
2020-07-02,990.0,990.0,689.7000122070312,693.0,1
2020-07-06,990.0,990.0,990.0,990.0,0
2020-07-07,1151.699951171875,1151.699951171875,1138.5,1138.5,1
2020-07-08,996.5999755859375,1815.0,996.5999755859375,1105.5,12
2020-07-09,1155.0,1221.0,1155.0,1155.0,7
2020-07-10,1155.0,1270.5,957.0,1237.5,9
2020-07-13,1155.0,1155.0,1155.0,1155.0,0
2020-07-14,1155.0,1155.0,1105.5,1105.5,4
2020-07-15,1155.0,1155.0,1155.0,1155.0,0
2020-07-16,1155.0,1155.0,1155.0,1155.0,0
2020-07-17,825.0,841.5,825.0,828.2999877929688,1
2020-07-20,825.0,825.0,825.0,825.0,0
2020-07-21,825.0,825.0,825.0,825.0,0
2020-07-22,990.0,990.0,660.0,660.0,20
2020-07-23,990.0,990.0,990.0,990.0,0
2020-07-24,990.0,990.0,990.0,990.0,1
2020-07-27,1316.699951171875,1316.699951171875,920.7000122070312,986.7000122070312,21
2020-07-28,1151.699951171875,1151.699951171875,1151.699951171875,1151.699951171875,0
2020-07-29,1151.699951171875,1151.699951171875,1151.699951171875,1151.699951171875,0
2020-07-30,1085.699951171875,1646.699951171875,610.5,907.5,9
2020-07-31,1313.4000244140625,1313.4000244140625,759.0,759.0,3
2020-08-03,1313.4000244140625,1313.4000244140625,1313.4000244140625,1313.4000244140625,0
2020-08-04,990.0,990.0,643.5,660.0,8
2020-08-05,990.0,990.0,990.0,990.0,0
2020-08-06,986.7000122070312,986.7000122070312,986.7000122070312,986.7000122070312,1
2020-08-07,999.9000244140625,999.9000244140625,983.4000244140625,983.4000244140625,4
2020-08-10,999.9000244140625,999.9000244140625,999.9000244140625,999.9000244140625,0
2020-08-11,627.0,1006.5,627.0,1006.5,5
2020-08-12,1049.4000244140625,1049.4000244140625,1049.4000244140625,1049.4000244140625,0
2020-08-13,1052.699951171875,1052.699951171875,990.0,990.0,7
2020-08-14,914.0999755859375,914.0999755859375,914.0999755859375,914.0999755859375,1
2020-08-17,1023.0,1056.0,1023.0,1052.699951171875,5
2020-08-18,973.5,1023.0,973.5,1023.0,1
2020-08-19,973.5,973.5,973.5,973.5,0
2020-08-20,973.5,973.5,973.5,973.5,0
2020-08-21,973.5,973.5,973.5,973.5,0
2020-08-24,973.5,973.5,973.5,973.5,0
2020-08-25,973.5,973.5,973.5,973.5,0
2020-08-26,907.5,928.9500122070312,907.5,928.9500122070312,1
2020-08-27,907.5,907.5,907.5,907.5,0
2020-08-28,973.5,973.5,973.5,973.5,2
2020-08-31,973.5,973.5,973.5,973.5,0
2020-09-01,973.5,973.5,973.5,973.5,0
2020-09-02,973.5,973.5,973.5,973.5,1
2020-09-03,973.5,973.5,973.5,973.5,0
2020-09-04,907.5,907.5,907.5,907.5,1
2020-09-08,858.0,858.0,858.0,858.0,0
2020-09-09,858.0,858.0,858.0,858.0,0
2020-09-10,841.5,841.5,792.0,841.5,1
2020-09-11,841.5,841.5,841.5,841.5,0
2020-09-14,841.5,841.5,841.5,841.5,0
2020-09-15,841.5,841.5,841.5,841.5,0
2020-09-16,907.5,907.5,907.5,907.5,0
2020-09-17,907.5,907.5,907.5,907.5,0
2020-09-18,825.0,858.0,825.0,858.0,1
2020-09-21,973.5,973.5,742.5,742.5,17
2020-09-22,973.5,973.5,973.5,973.5,2
2020-09-23,973.5,973.5,973.5,973.5,0
2020-09-24,973.5,973.5,973.5,973.5,0
2020-09-25,973.5,973.5,973.5,973.5,0
2020-09-28,950.4000244140625,950.4000244140625,924.0,924.0,3
2020-09-29,950.4000244140625,950.4000244140625,950.4000244140625,950.4000244140625,0
2020-09-30,950.4000244140625,950.4000244140625,950.4000244140625,950.4000244140625,0
2020-10-01,950.4000244140625,950.4000244140625,950.4000244140625,950.4000244140625,0
2020-10-02,950.4000244140625,950.4000244140625,950.4000244140625,950.4000244140625,0
2020-10-05,924.0,924.0,924.0,924.0,0
2020-10-06,924.0,924.0,924.0,924.0,0
2020-10-07,924.0,924.0,924.0,924.0,0
2020-10-08,924.0,924.0,924.0,924.0,1
2020-10-09,924.0,924.0,924.0,924.0,0
2020-10-12,917.4000244140625,917.4000244140625,917.4000244140625,917.4000244140625,1
2020-10-13,917.4000244140625,917.4000244140625,917.4000244140625,917.4000244140625,0
2020-10-14,917.4000244140625,917.4000244140625,917.4000244140625,917.4000244140625,2
2020-10-15,917.4000244140625,917.4000244140625,917.4000244140625,917.4000244140625,0
2020-10-16,917.4000244140625,917.4000244140625,917.4000244140625,917.4000244140625,0
2020-10-19,825.0,917.4000244140625,825.0,825.0,3
2020-10-20,970.2000122070312,970.2000122070312,660.0,920.7000122070312,11
2020-10-21,970.2000122070312,970.2000122070312,970.2000122070312,970.2000122070312,0
2020-10-22,986.7000122070312,986.7000122070312,660.0,970.2000122070312,5
2020-10-23,980.0999755859375,980.0999755859375,726.0,726.0,1
2020-10-26,990.0,990.0,973.5,973.5,6
2020-10-27,990.0,990.0,990.0,990.0,0
2020-10-28,986.7000122070312,986.7000122070312,986.7000122070312,986.7000122070312,1
2020-10-29,986.7000122070312,986.7000122070312,986.7000122070312,986.7000122070312,0
2020-10-30,986.7000122070312,986.7000122070312,986.7000122070312,986.7000122070312,0
2020-11-02,986.7000122070312,986.7000122070312,986.7000122070312,986.7000122070312,0
2020-11-03,986.7000122070312,986.7000122070312,986.7000122070312,986.7000122070312,0
2020-11-04,986.7000122070312,986.7000122070312,986.7000122070312,986.7000122070312,0
2020-11-05,980.0999755859375,980.0999755859375,980.0999755859375,980.0999755859375,0
2020-11-06,980.0999755859375,980.0999755859375,980.0999755859375,980.0999755859375,0
2020-11-09,980.0999755859375,980.0999755859375,980.0999755859375,980.0999755859375,0
2020-11-10,980.0999755859375,980.0999755859375,980.0999755859375,980.0999755859375,0
2020-11-11,980.0999755859375,980.0999755859375,980.0999755859375,980.0999755859375,0
2020-11-12,980.0999755859375,980.0999755859375,980.0999755859375,980.0999755859375,0
2020-11-13,980.0999755859375,980.0999755859375,980.0999755859375,980.0999755859375,0
2020-11-16,980.0999755859375,980.0999755859375,980.0999755859375,980.0999755859375,0
2020-11-17,980.0999755859375,980.0999755859375,980.0999755859375,980.0999755859375,0
2020-11-18,980.0999755859375,980.0999755859375,980.0999755859375,980.0999755859375,0
2020-11-19,980.0999755859375,980.0999755859375,980.0999755859375,980.0999755859375,0
2020-11-20,980.0999755859375,980.0999755859375,980.0999755859375,980.0999755859375,0
2020-11-23,980.0999755859375,980.0999755859375,980.0999755859375,980.0999755859375,0
2020-11-24,970.2000122070312,970.2000122070312,970.2000122070312,970.2000122070312,0
2020-11-25,970.2000122070312,970.2000122070312,970.2000122070312,970.2000122070312,0
2020-11-27,970.2000122070312,970.2000122070312,970.2000122070312,970.2000122070312,0
2020-11-30,970.2000122070312,970.2000122070312,970.2000122070312,970.2000122070312,0
2020-12-01,970.2000122070312,970.2000122070312,970.2000122070312,970.2000122070312,0
2020-12-02,970.2000122070312,970.2000122070312,970.2000122070312,970.2000122070312,0
2020-12-03,970.2000122070312,970.2000122070312,970.2000122070312,970.2000122070312,0
2020-12-04,970.2000122070312,970.2000122070312,970.2000122070312,970.2000122070312,0
2020-12-07,970.2000122070312,970.2000122070312,970.2000122070312,970.2000122070312,0
2020-12-08,970.2000122070312,970.2000122070312,970.2000122070312,970.2000122070312,3
2020-12-09,970.2000122070312,970.2000122070312,970.2000122070312,970.2000122070312,0
2020-12-10,983.4000244140625,983.4000244140625,924.0,970.2000122070312,3
2020-12-11,983.4000244140625,983.4000244140625,983.4000244140625,983.4000244140625,0
2020-12-14,983.4000244140625,983.4000244140625,983.4000244140625,983.4000244140625,0
2020-12-15,983.4000244140625,983.4000244140625,983.4000244140625,983.4000244140625,0
2020-12-16,970.2000122070312,970.2000122070312,706.2000122070312,825.0,6
2020-12-17,970.2000122070312,970.2000122070312,970.2000122070312,970.2000122070312,0
2020-12-18,910.7999877929688,910.7999877929688,706.2000122070312,706.2000122070312,1
2020-12-21,976.7999877929688,976.7999877929688,891.0,904.2000122070312,6
2020-12-22,976.7999877929688,976.7999877929688,976.7999877929688,976.7999877929688,0
2020-12-23,973.5,1039.5,696.2999877929688,696.2999877929688,2
2020-12-24,973.5,973.5,973.5,973.5,0
2020-12-28,973.5,973.5,973.5,973.5,2
2020-12-29,973.5,973.5,973.5,973.5,0
2020-12-30,973.5,973.5,973.5,973.5,0
2020-12-31,973.5,973.5,973.5,973.5,0
2021-01-04,1056.0,1524.5999755859375,1023.0,1039.5,10
2021-01-05,1980.0,2296.800048828125,1069.199951171875,1069.199951171875,33
2021-01-06,1501.5,1815.0,1320.0,1815.0,6
2021-01-07,1399.199951171875,1551.0,1320.0,1551.0,10
2021-01-08,1481.699951171875,1481.699951171875,1402.5,1402.5,1
2021-01-11,1346.4000244140625,1402.5,1346.4000244140625,1402.5,2
2021-01-12,1247.4000244140625,1290.300048828125,1221.0,1290.300048828125,4
2021-01-13,1224.300048828125,1289.6400146484375,1224.300048828125,1237.5,4
2021-01-14,1224.300048828125,1224.300048828125,1224.300048828125,1224.300048828125,0
2021-01-15,894.2999877929688,1270.5,894.2999877929688,1224.300048828125,3
2021-01-19,1316.699951171875,1316.699951171875,1006.5,1006.5,5
2021-01-20,933.9000244140625,1316.699951171875,933.9000244140625,1316.699951171875,7
2021-01-21,1056.0,1481.699951171875,726.0,1481.699951171875,10
2021-01-22,1056.0,1056.0,1056.0,1056.0,0
2021-01-25,907.5,924.989990234375,907.5,907.5,6
2021-01-26,996.5999755859375,1458.5999755859375,996.5999755859375,1458.5999755859375,7
2021-01-27,996.5999755859375,996.5999755859375,996.5999755859375,996.5999755859375,0
2021-01-28,973.5,1432.199951171875,663.2999877929688,1432.199951171875,17
2021-01-29,973.5,973.5,973.5,973.5,3
2021-02-01,973.5,973.5,973.5,973.5,0
2021-02-02,831.5999755859375,831.5999755859375,676.5,831.5999755859375,9
2021-02-03,865.9199829101562,865.9199829101562,818.4000244140625,818.4000244140625,1
2021-02-04,726.0,818.4000244140625,673.2000122070312,818.4000244140625,2
2021-02-05,924.0,924.0,924.0,924.0,3
2021-02-08,924.0,924.0,924.0,924.0,1
2021-02-09,924.0,924.0,924.0,924.0,0
2021-02-10,924.0,924.0,924.0,924.0,0
2021-02-11,1151.699951171875,1402.5,924.0,924.0,19
2021-02-12,1313.4000244140625,1313.4000244140625,1313.4000244140625,1313.4000244140625,9
2021-02-16,1237.5,1303.5,1237.5,1303.5,2
2021-02-17,1237.5,1237.5,1237.5,1237.5,0
2021-02-18,1016.4000244140625,1237.5,1016.4000244140625,1237.5,1
2021-02-19,1016.4000244140625,1016.4000244140625,1016.4000244140625,1016.4000244140625,0
2021-02-22,1016.4000244140625,1016.4000244140625,1016.4000244140625,1016.4000244140625,0
2021-02-23,1072.5,1072.5,990.0,1032.9000244140625,9
2021-02-24,1072.5,1072.5,1072.5,1072.5,0
2021-02-25,1023.0,1023.0,1023.0,1023.0,1
2021-02-26,1023.0,1023.0,1023.0,1023.0,1
