Price,Close,High,Low,Open,Volume
Ticker,TRAW,TRAW,TRAW,TRAW,TRAW
Date,,,,,
2020-01-28,146.25,146.25,138.75,146.25,17150
2020-01-29,138.75,142.5,138.75,142.5,16192
2020-01-30,135.0,138.75,127.5,138.75,21326
2020-01-31,127.5,135.0,127.5,131.25,22789
2020-02-03,120.0,123.75,108.75,120.0,30644
2020-02-04,138.75,172.5,131.25,142.5,117875
2020-02-05,153.75,165.0,146.25,153.75,47754
2020-02-06,165.0,172.5,153.75,157.5,48364
2020-02-07,183.75,198.75,161.25,165.0,95522
2020-02-10,225.0,236.25,202.5,210.0,170935
2020-02-11,191.25,281.25,157.5,262.5,330436
2020-02-12,202.5,221.25,172.5,180.0,118737
2020-02-13,206.25,213.75,202.5,202.5,46823
2020-02-14,198.75,210.0,187.5,206.25,46721
2020-02-18,187.5,202.5,183.75,198.75,38388
2020-02-19,198.75,202.5,168.75,183.75,61193
2020-02-20,202.5,221.25,198.75,202.5,59182
2020-02-21,198.75,202.5,187.5,198.75,24515
2020-02-24,195.0,195.0,183.75,187.5,25256
2020-02-25,183.75,191.25,176.25,187.5,25621
2020-02-26,180.0,195.0,172.5,180.0,28797
2020-02-27,176.25,183.75,157.5,172.5,44712
2020-02-28,161.25,168.75,150.0,153.75,47639
2020-03-02,172.5,172.5,150.0,157.5,28160
2020-03-03,183.75,202.5,165.0,172.5,60910
2020-03-04,187.5,202.5,176.25,176.25,41239
2020-03-05,176.25,187.5,168.75,187.5,23601
2020-03-06,172.5,180.0,165.0,168.75,20075
2020-03-09,153.75,165.0,150.0,165.0,28873
2020-03-10,150.0,161.25,138.75,157.5,22462
2020-03-11,135.0,150.0,131.25,150.0,20011
2020-03-12,116.25,123.75,105.0,112.5,25033
2020-03-13,120.0,135.0,108.75,127.5,23426
2020-03-16,112.5,120.0,101.25,112.5,15422
2020-03-17,112.5,120.0,108.75,112.5,12925
2020-03-18,108.75,116.25,105.0,112.5,12915
2020-03-19,112.5,120.0,108.75,108.75,12318
2020-03-20,112.5,120.0,112.5,120.0,12214
2020-03-23,120.0,120.0,108.75,116.25,11160
2020-03-24,138.75,157.5,123.75,127.5,59934
2020-03-25,135.0,157.5,123.75,150.0,40233
2020-03-26,120.0,127.5,116.25,123.75,22600
2020-03-27,120.0,120.0,112.5,120.0,12190
2020-03-30,116.25,116.25,108.75,116.25,16126
