Price,Close,High,Low,Open,Volume
Ticker,VLCN,VLCN,VLCN,VLCN,VLCN
Date,,,,,
2021-10-06,1954800.0,2790000.0,1281600.0,1621800.0,40
2021-10-07,1566000.0,2300400.0,1445400.0,1971540.0,10
2021-10-08,1643400.0,2142000.0,1603800.0,1649160.0,12
2021-10-11,1670400.0,1920600.0,1645200.0,1807920.0,12
2021-10-12,1566000.0,1665000.0,1526400.0,1620000.0,2
2021-10-13,1407600.0,1553400.0,1243800.0,1528200.0,4
2021-10-14,1377000.0,1436400.0,1263600.0,1386000.0,2
2021-10-15,1490400.0,1562400.0,1355400.0,1368000.0,3
2021-10-18,1665000.0,1794600.0,1422000.0,1553400.0,8
2021-10-19,1648800.0,1744200.0,1530000.0,1677600.0,5
2021-10-20,1564200.0,1706400.0,1539000.0,1668600.0,2
2021-10-21,1589400.0,1616400.0,1485000.0,1589400.0,1
2021-10-22,1674000.0,1692000.0,1506600.0,1582200.0,2
2021-10-25,1999800.0,2116800.0,1677600.0,1717200.0,7
2021-10-26,2057400.0,2129400.0,1841400.0,1989000.0,3
2021-10-27,2359800.0,2988000.0,1996200.0,2052000.0,11
2021-10-28,2259000.0,2678220.0,2124000.0,2430000.0,5
2021-10-29,2239200.0,2390400.0,1999800.0,2187000.0,2
2021-11-01,2295000.0,2327400.0,2214000.0,2313000.0,1
2021-11-02,2181600.0,2288700.0,2138400.0,2262780.0,1
2021-11-03,2151000.0,2228220.0,2071800.0,2214000.0,1
2021-11-04,2678400.0,2678400.0,2192400.0,2192400.0,3
2021-11-05,2952000.0,2970000.0,2556000.0,2682000.0,3
2021-11-08,2716200.0,3103020.0,2620800.0,2952000.0,3
2021-11-09,2687400.0,2916000.0,2574000.0,2806200.0,2
2021-11-10,2521800.0,2725200.0,2431800.0,2723400.0,1
2021-11-11,2487600.0,2628000.0,2376000.0,2539800.0,1
2021-11-12,2115000.0,2514600.0,1994400.0,2466000.0,2
2021-11-15,2462400.0,2512800.0,2205000.0,2206800.0,1
2021-11-16,2664000.0,2730600.0,2538000.0,2538000.0,2
