Price,Close,High,Low,Open,Volume
Ticker,VS,VS,VS,VS,VS
Date,,,,,
2020-01-28,545.280029296875,576.0,545.280029296875,576.0,2
2020-01-29,577.1519775390625,577.1519775390625,553.343994140625,553.343994140625,1
2020-01-30,552.9600219726562,556.7999877929688,551.8079833984375,556.7999877929688,4
2020-01-31,536.8319702148438,559.4879760742188,522.239990234375,559.4879760742188,16
2020-02-03,569.8560180664062,569.8560180664062,518.4000244140625,533.760009765625,8
2020-02-04,578.3040161132812,628.2239990234375,564.47998046875,607.10400390625,6
2020-02-05,556.7999877929688,577.5360107421875,556.7999877929688,577.5360107421875,0
2020-02-06,602.8800048828125,607.10400390625,577.9199829101562,577.9199829101562,8
2020-02-07,691.968017578125,691.968017578125,616.3200073242188,616.3200073242188,17
2020-02-10,652.7999877929688,685.0560302734375,652.7999877929688,685.0560302734375,7
2020-02-11,731.9039916992188,731.9039916992188,658.176025390625,695.0399780273438,7
2020-02-12,729.5999755859375,739.2000122070312,706.176025390625,718.0800170898438,8
2020-02-13,685.4400024414062,734.2080078125,648.1920166015625,715.0079956054688,15
2020-02-14,721.9199829101562,721.9199829101562,668.1599731445312,668.1599731445312,2
2020-02-18,771.4559936523438,774.5280151367188,723.8400268554688,730.7520141601562,5
2020-02-19,824.0640258789062,827.9039916992188,798.719970703125,798.719970703125,5
2020-02-20,764.1599731445312,822.5280151367188,738.4320068359375,760.3200073242188,8
2020-02-21,769.9199829101562,769.9199829101562,769.9199829101562,769.9199829101562,0
2020-02-24,771.4559936523438,795.2639770507812,721.5360107421875,721.5360107421875,38
2020-02-25,675.4559936523438,711.552001953125,672.7680053710938,675.8400268554688,4
2020-02-26,675.8400268554688,675.8400268554688,675.8400268554688,675.8400268554688,1
2020-02-27,665.8560180664062,691.2000122070312,665.8560180664062,668.1599731445312,1
2020-02-28,690.4320068359375,712.7039794921875,651.6480102539062,695.0399780273438,6
2020-03-02,691.2000122070312,748.031982421875,661.2479858398438,672.0,24
2020-03-03,691.2000122070312,692.7360229492188,654.719970703125,688.89599609375,14
2020-03-04,768.0,768.0,672.7680053710938,691.2000122070312,20
2020-03-05,700.7999877929688,700.7999877929688,669.31201171875,689.6640014648438,7
2020-03-06,666.6240234375,696.1920166015625,664.7039794921875,673.1519775390625,4
2020-03-09,657.7919921875,691.2000122070312,576.0,673.9199829101562,32
2020-03-10,676.2239990234375,691.2000122070312,670.0800170898438,683.52001953125,1
2020-03-11,648.5759887695312,656.2559814453125,617.4719848632812,656.2559814453125,9
2020-03-12,537.5999755859375,595.2000122070312,537.5999755859375,592.89599609375,19
2020-03-13,495.3599853515625,568.7039794921875,495.3599853515625,568.3200073242188,3
2020-03-16,476.1600036621094,485.760009765625,476.1600036621094,476.1600036621094,3
2020-03-17,508.79998779296875,518.4000244140625,486.52801513671875,518.4000244140625,1
2020-03-18,576.3839721679688,606.3359985351562,528.0,528.0,3
2020-03-19,670.8480224609375,702.3359985351562,645.5040283203125,645.5040283203125,9
2020-03-20,772.2239990234375,772.2239990234375,680.0640258789062,690.0479736328125,20
2020-03-23,701.5679931640625,797.9520263671875,701.1840209960938,778.7520141601562,16
2020-03-24,748.416015625,748.416015625,687.3599853515625,744.1920166015625,10
2020-03-25,718.0800170898438,825.5999755859375,712.3200073242188,825.5999755859375,30
2020-03-26,729.5999755859375,789.5040283203125,652.7999877929688,652.7999877929688,6
2020-03-27,921.5999755859375,921.5999755859375,814.0800170898438,825.5999755859375,12
